REPORT 90 E-4,,,,,,,,,,
Population Estimates for California State and Counties,,,,,,,,,,
"January 1, 1981 to January 1, 1990",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTY,1-1-81  ,1-1-82  ,1-1-83  ,1-1-84  ,1-1-85  ,1-1-86  ,1-1-87  ,1-1-88  ,1-1-89  ,1-1-90  
  Ferndale," 1,380 "," 1,350 "," 1,410 "," 1,400 "," 1,400 "," 1,350 "," 1,340 "," 1,330 "," 1,330 "," 1,330 "
  Fortuna," 7,675 "," 7,825 "," 7,750 "," 7,775 "," 7,850 "," 7,850 "," 8,075 "," 8,275 "," 8,500 "," 8,750 "
  Rio Dell," 2,740 "," 2,750 "," 2,720 "," 2,750 "," 2,740 "," 2,800 "," 2,820 "," 2,900 "," 2,890 "," 3,000 "
  Trinidad, 390 , 400 , 390 , 390 , 390 , 380 , 380 , 380 , 370 , 360 
  Incorporated," 51,400 "," 52,000 "," 51,500 "," 52,200 "," 52,500 "," 52,800 "," 53,400 "," 54,500 "," 55,600 "," 56,700 "
  Unincorporated," 58,400 "," 58,300 "," 58,100 "," 57,700 "," 57,900 "," 58,400 "," 58,700 "," 59,200 "," 60,200 "," 61,700 "
,,,,,,,,,,
IMPERIAL," 93,400 "," 94,800 "," 96,000 "," 96,700 "," 97,800 "," 99,300 "," 100,600 "," 102,500 "," 104,900 "," 108,300 "
  Brawley," 15,200 "," 15,450 "," 16,600 "," 16,750 "," 16,800 "," 17,000 "," 17,400 "," 17,650 "," 18,250 "," 18,800 "
  Calexico," 14,700 "," 15,000 "," 15,350 "," 15,600 "," 15,950 "," 16,700 "," 17,350 "," 17,650 "," 17,900 "," 18,450 "
  Calipatria," 2,630 "," 2,610 "," 2,580 "," 2,540 "," 2,490 "," 2,500 "," 2,440 "," 2,500 "," 2,690 "," 2,700 "
  El Centro," 24,800 "," 25,350 "," 25,950 "," 26,300 "," 26,650 "," 27,050 "," 27,600 "," 28,750 "," 30,150 "," 31,100 "
  Holtville," 4,440 "," 4,440 "," 4,490 "," 4,460 "," 4,470 "," 4,560 "," 4,670 "," 4,710 "," 4,760 "," 4,760 "
  Imperial," 3,450 "," 3,430 "," 3,440 "," 3,400 "," 3,450 "," 3,470 "," 3,570 "," 3,660 "," 3,960 "," 4,040 "
  Westmorland," 1,550 "," 1,480 "," 1,490 "," 1,470 "," 1,480 "," 1,380 "," 1,320 "," 1,300 "," 1,310 "," 1,280 "
  Incorporated," 66,700 "," 67,800 "," 69,800 "," 70,500 "," 71,300 "," 72,700 "," 74,300 "," 76,200 "," 79,000 "," 81,100 "
  Unincorporated," 26,600 "," 27,050 "," 26,150 "," 26,200 "," 26,550 "," 26,700 "," 26,200 "," 26,350 "," 25,900 "," 27,200 "
,,,,,,,,,,
INYO," 17,900 "," 18,150 "," 18,400 "," 18,300 "," 18,100 "," 17,950 "," 17,750 "," 17,800 "," 17,950 "," 18,200 "
  Bishop," 3,350 "," 3,300 "," 3,420 "," 3,360 "," 3,280 "," 3,340 "," 3,360 "," 3,430 "," 3,440 "," 3,450 "
  Incorporated," 3,350 "," 3,300 "," 3,420 "," 3,360 "," 3,280 "," 3,340 "," 3,360 "," 3,430 "," 3,440 "," 3,450 "
  Unincorporated," 14,550 "," 14,850 "," 15,000 "," 14,900 "," 14,850 "," 14,600 "," 14,400 "," 14,350 "," 14,500 "," 14,750 "
,,,,,,,,,,
KERN," 412,800 "," 426,300 "," 440,400 "," 453,400 "," 466,500 "," 480,600 "," 492,900 "," 504,200 "," 518,300 "," 537,300 "
  Arvin," 7,150 "," 7,225 "," 7,375 "," 7,575 "," 8,000 "," 8,300 "," 8,550 "," 8,750 "," 8,950 "," 9,150 "
  Bakersfield," 109,100 "," 114,200 "," 119,100 "," 131,600 "," 140,200 "," 150,100 "," 157,200 "," 160,700 "," 165,400 "," 172,400 "
  California City," 2,770 "," 2,790 "," 2,870 "," 2,930 "," 3,020 "," 3,100 "," 3,400 "," 3,680 "," 4,220 "," 5,425 "
  Delano," 16,900 "," 17,700 "," 18,600 "," 19,000 "," 19,200 "," 20,350 "," 20,500 "," 20,700 "," 21,850 "," 22,550 "
  Maricopa, 970 ," 1,000 "," 1,070 "," 1,160 "," 1,200 "," 1,190 "," 1,190 "," 1,170 "," 1,160 "," 1,190 "
  McFarland," 5,325 "," 5,475 "," 5,850 "," 6,225 "," 6,350 "," 6,425 "," 6,450 "," 6,575 "," 6,750 "," 6,975 "
  Ridgecrest," 16,050 "," 20,200 "," 20,650 "," 21,200 "," 21,700 "," 22,150 "," 23,150 "," 24,750 "," 26,300 "," 27,600 "
  Shafter," 7,150 "," 7,300 "," 7,425 "," 7,600 "," 7,700 "," 7,700 "," 7,825 "," 7,925 "," 8,000 "," 8,325 "
  Taft," 5,375 "," 5,500 "," 5,600 "," 5,800 "," 5,825 "," 5,975 "," 5,775 "," 5,800 "," 5,800 "," 5,900 "
  Tehachapi," 4,090 "," 4,180 "," 4,210 "," 4,250 "," 4,270 "," 4,270 "," 4,500 "," 4,980 "," 5,100 "," 5,700 "
  Wasco," 9,950 "," 10,300 "," 10,800 "," 11,100 "," 11,400 "," 11,650 "," 11,600 "," 11,700 "," 12,000 "," 12,300 "
  Incorporated," 184,900 "," 195,800 "," 203,500 "," 218,500 "," 228,800 "," 241,200 "," 250,100 "," 256,700 "," 265,500 "," 277,500 "
  Unincorporated," 227,900 "," 230,400 "," 236,900 "," 234,900 "," 237,700 "," 239,400 "," 242,800 "," 247,500 "," 252,800 "," 259,800 "
,,,,,,,,,,
KINGS," 75,100 "," 76,800 "," 79,200 "," 81,000 "," 83,200 "," 84,100 "," 84,500 "," 90,100 "," 95,200 "," 100,800 "
  Avenal," 4,160 "," 4,200 "," 4,210 "," 4,420 "," 4,380 "," 4,520 "," 4,680 "," 8,250 "," 9,050 "," 9,550 "
  Corcoran," 6,550 "," 6,675 "," 6,800 "," 6,975 "," 6,925 "," 7,000 "," 7,100 "," 7,550 "," 11,100 "," 13,450 "
  Hanford," 21,550 "," 22,350 "," 23,000 "," 23,650 "," 24,400 "," 24,750 "," 25,250 "," 25,950 "," 29,450 "," 30,650 "
  Lemoore," 9,275 "," 9,875 "," 10,050 "," 10,550 "," 11,650 "," 12,200 "," 12,450 "," 12,500 "," 12,750 "," 13,450 "
  Incorporated," 41,550 "," 43,150 "," 44,050 "," 45,600 "," 47,400 "," 48,450 "," 49,500 "," 54,300 "," 62,400 "," 67,100 "
  Unincorporated," 33,500 "," 33,650 "," 35,200 "," 35,450 "," 35,800 "," 35,700 "," 34,950 "," 35,750 "," 32,800 "," 33,700 "
,,,,,,,,,,
LAKE," 37,700 "," 39,250 "," 40,850 "," 42,750 "," 44,700 "," 45,950 "," 46,850 "," 47,800 "," 48,700 "," 50,200 "
  Clearlake," 8,700 "," 9,025 "," 9,375 "," 10,000 "," 10,450 "," 10,800 "," 10,950 "," 11,050 "," 11,300 "," 11,700 "
  Lakeport," 3,690 "," 3,680 "," 3,800 "," 3,860 "," 3,900 "," 3,920 "," 4,040 "," 4,180 "," 4,250 "," 4,360 "
  Incorporated," 12,400 "," 12,700 "," 13,200 "," 13,850 "," 14,350 "," 14,750 "," 14,950 "," 15,200 "," 15,550 "," 16,100 "
  Unincorporated," 25,300 "," 26,550 "," 27,650 "," 28,900 "," 30,350 "," 31,200 "," 31,850 "," 32,600 "," 33,200 "," 34,100 "
,,,,,,,,,,
LASSEN," 22,250 "," 23,050 "," 23,650 "," 23,850 "," 24,100 "," 24,650 "," 25,700 "," 26,450 "," 27,050 "," 27,000 "
  Susanville," 6,600 "," 6,700 "," 6,750 "," 6,825 "," 6,875 "," 7,050 "," 7,125 "," 7,225 "," 7,250 "," 7,250 "
  Incorporated," 6,600 "," 6,700 "," 6,750 "," 6,825 "," 6,875 "," 7,050 "," 7,125 "," 7,225 "," 7,250 "," 7,250 "
  Unincorporated," 15,650 "," 16,350 "," 16,900 "," 17,000 "," 17,250 "," 17,600 "," 18,600 "," 19,200 "," 19,800 "," 19,750 "
,,,,,,,,,,
LOS ANGELES," 7,554,900 "," 7,689,900 "," 7,846,900 "," 7,985,000 "," 8,121,000 "," 8,286,100 "," 8,452,200 "," 8,585,300 "," 8,706,200 "," 8,832,500 "
  Agoura Hills, (1), (1)," 14,500 "," 15,850 "," 16,450 "," 17,750 "," 18,700 "," 19,300 "," 19,700 "," 20,200 "
  Alhambra," 66,200 "," 68,300 "," 70,500 "," 72,100 "," 73,500 "," 75,200 "," 76,800 "," 77,700 "," 79,800 "," 81,700 "
  Arcadia," 46,050 "," 46,450 "," 46,900 "," 47,400 "," 47,400 "," 47,300 "," 47,900 "," 47,700 "," 47,450 "," 48,050 "
  Artesia," 14,300 "," 14,400 "," 14,500 "," 14,700 "," 14,950 "," 15,100 "," 15,150 "," 15,150 "," 15,300 "," 15,400 "
  Avalon," 2,100 "," 2,210 "," 2,320 "," 2,510 "," 2,580 "," 2,640 "," 2,720 "," 2,840 "," 2,880 "," 2,920 "
  Azusa," 30,750 "," 31,450 "," 32,350 "," 34,150 "," 36,000 "," 37,600 "," 38,450 "," 39,400 "," 40,450 "," 41,200 "
  Baldwin Park," 52,800 "," 54,400 "," 56,700 "," 59,000 "," 60,900 "," 63,500 "," 65,700 "," 67,000 "," 67,900 "," 69,100 "
  Bell," 26,200 "," 27,300 "," 28,400 "," 29,400 "," 30,200 "," 30,900 "," 31,900 "," 32,250 "," 33,150 "," 34,150 "
  Bellflower," 54,100 "," 55,300 "," 56,400 "," 57,000 "," 57,700 "," 58,600 "," 59,800 "," 60,400 "," 61,400 "," 62,000 "
  Bell Gardens," 35,150 "," 36,400 "," 37,600 "," 39,050 "," 39,750 "," 40,850 "," 40,000 "," 41,050 "," 41,450 "," 42,300 "
  Beverly Hills," 32,350 "," 32,200 "," 32,650 "," 32,900 "," 32,700 "," 32,600 "," 32,550 "," 32,650 "," 32,050 "," 31,850 "
  Bradbury, 800 , 810 , 830 , 820 , 840 , 830 , 850 , 850 , 840 , 830 
  Burbank," 84,900 "," 86,400 "," 87,200 "," 87,900 "," 87,900 "," 88,400 "," 89,500 "," 91,600 "," 92,000 "," 93,300 "
  Calabasas, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1)
  Carson," 81,000 "," 82,200 "," 83,200 "," 84,000 "," 84,800 "," 84,900 "," 85,500 "," 85,200 "," 85,200 "," 85,000 "
  Cerritos," 53,000 "," 53,400 "," 53,700 "," 54,000 "," 54,100 "," 54,200 "," 54,200 "," 54,100 "," 53,700 "," 53,300 "
  Claremont," 32,650 "," 32,650 "," 32,600 "," 32,850 "," 32,700 "," 32,700 "," 32,850 "," 32,850 "," 32,750 "," 32,400 "
  Commerce," 10,800 "," 11,300 "," 11,700 "," 11,800 "," 11,800 "," 11,900 "," 11,600 "," 11,650 "," 12,000 "," 12,200 "
  Compton," 83,500 "," 84,500 "," 85,600 "," 87,100 "," 87,400 "," 89,300 "," 90,700 "," 90,300 "," 90,300 "," 90,500 "
  Covina," 38,150 "," 38,500 "," 39,050 "," 39,350 "," 40,150 "," 40,500 "," 41,850 "," 42,450 "," 42,500 "," 43,050 "
  Cudahy," 18,550 "," 19,000 "," 19,700 "," 20,350 "," 20,750 "," 21,250 "," 21,300 "," 21,850 "," 22,350 "," 22,650 "
  Culver City," 38,050 "," 38,350 "," 38,550 "," 38,650 "," 38,700 "," 39,350 "," 39,500 "," 39,650 "," 39,400 "," 39,550 "
  Diamond Bar, (1), (1), (1), (1), (1), (1), (1), (1), (1)," 53,900 "
  Downey," 83,200 "," 83,800 "," 85,000 "," 85,900 "," 86,900 "," 88,100 "," 89,300 "," 89,700 "," 90,300 "," 91,200 "
  Duarte," 17,750 "," 18,500 "," 19,050 "," 19,400 "," 19,500 "," 19,850 "," 20,250 "," 20,150 "," 20,250 "," 20,400 "
  El Monte," 82,900 "," 87,000 "," 90,500 "," 93,700 "," 96,200 "," 98,200 "," 100,400 "," 101,600 "," 104,200 "," 105,800 "
  El Segundo," 13,800 "," 13,800 "," 14,050 "," 14,250 "," 14,450 "," 14,850 "," 14,850 "," 15,100 "," 15,050 "," 15,250 "
  Gardena," 45,500 "," 46,150 "," 46,950 "," 47,550 "," 48,150 "," 48,650 "," 49,150 "," 49,650 "," 49,600 "," 49,800 "
  Glendale," 140,600 "," 144,100 "," 148,000 "," 150,100 "," 153,100 "," 155,900 "," 159,200 "," 164,300 "," 174,700 "," 178,800 "
  Glendora," 39,500 "," 39,800 "," 39,950 "," 40,400 "," 40,800 "," 41,750 "," 42,900 "," 47,100 "," 47,150 "," 47,700 "
  Hawaiian Gardens," 10,900 "," 11,300 "," 11,800 "," 12,000 "," 12,100 "," 12,550 "," 12,750 "," 12,950 "," 13,300 "," 13,550 "
  Hawthorne," 56,900 "," 57,900 "," 59,100 "," 60,000 "," 61,200 "," 62,700 "," 65,000 "," 69,100 "," 70,100 "," 71,000 "
  Hermosa Beach," 17,950 "," 18,050 "," 18,150 "," 18,200 "," 18,150 "," 18,200 "," 18,300 "," 18,500 "," 18,400 "," 18,200 "
  Hidden Hills," 1,760 "," 1,750 "," 1,770 "," 1,750 "," 1,750 "," 1,780 "," 1,760 "," 1,750 "," 1,700 "," 1,710 "
  Huntington Park," 47,200 "," 48,600 "," 49,900 "," 50,800 "," 52,300 "," 53,300 "," 53,700 "," 53,400 "," 54,400 "," 55,600 "
  Industry, 430 , 460 , 510 , 540 , 570 , 500 , 540 , 550 , 590 , 610 
  Inglewood," 94,900 "," 97,700 "," 100,100 "," 102,000 "," 103,500 "," 105,000 "," 107,100 "," 107,000 "," 107,900 "," 109,100 "
  Irwindale," 1,020 "," 1,010 "," 1,000 ", 980 , 960 , 940 , 930 , 900 ," 1,040 "," 1,050 "
  Lacanada Flintridge," 19,950 "," 19,950 "," 19,900 "," 19,900 "," 19,800 "," 19,800 "," 19,800 "," 19,650 "," 19,550 "," 19,400 "
  La Habra Heights," 4,900 "," 5,050 "," 5,225 "," 5,350 "," 5,500 "," 5,675 "," 5,850 "," 5,950 "," 6,125 "," 6,200 "
  Lakewood," 74,100 "," 74,200 "," 74,500 "," 74,700 "," 75,100 "," 74,800 "," 74,900 "," 74,900 "," 74,400 "," 74,400 "
  La Mirada," 40,500 "," 40,400 "," 40,400 "," 40,400 "," 40,450 "," 40,650 "," 40,550 "," 40,250 "," 40,000 "," 40,050 "
  Lancaster," 50,000 "," 52,300 "," 54,200 "," 56,900 "," 59,800 "," 64,600 "," 72,500 "," 79,500 "," 88,000 "," 95,400 "
  La Puente," 31,250 "," 31,800 "," 32,500 "," 33,200 "," 34,100 "," 34,700 "," 35,150 "," 35,550 "," 35,850 "," 36,800 "
  La Verne," 23,800 "," 24,750 "," 25,200 "," 25,700 "," 26,400 "," 27,050 "," 28,300 "," 29,000 "," 29,400 "," 30,600 "
  Lawndale," 23,750 "," 24,050 "," 24,550 "," 25,050 "," 25,450 "," 26,150 "," 26,700 "," 26,800 "," 26,850 "," 27,200 "
  Lomita," 19,000 "," 19,250 "," 19,350 "," 19,450 "," 19,450 "," 19,700 "," 19,800 "," 19,900 "," 19,900 "," 19,750 "
  Long Beach," 364,000 "," 371,600 "," 378,400 "," 383,000 "," 391,400 "," 399,300 "," 410,100 "," 419,500 "," 425,900 "," 427,200 "
  Los Angeles," 2,994,600 "," 3,035,800 "," 3,097,500 "," 3,158,400 "," 3,216,900 "," 3,289,100 "," 3,343,300 "," 3,392,600 "," 3,433,200 "," 3,476,000 "
  Lynwood," 49,600 "," 51,500 "," 53,400 "," 55,000 "," 56,000 "," 57,500 "," 58,500 "," 59,100 "," 59,900 "," 61,500 "
  Malibu, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1)
  Manhattan Beach," 32,850 "," 32,700 "," 32,800 "," 32,700 "," 32,950 "," 32,900 "," 32,900 "," 32,750 "," 32,350 "," 32,050 "
  Maywood," 22,400 "," 23,300 "," 24,200 "," 24,850 "," 25,350 "," 25,950 "," 26,700 "," 27,000 "," 27,450 "," 27,950 "
  Monrovia," 30,900 "," 31,250 "," 31,950 "," 32,600 "," 32,950 "," 33,350 "," 34,000 "," 34,350 "," 34,650 "," 35,650 "
  Montebello," 53,400 "," 54,400 "," 55,500 "," 56,200 "," 57,000 "," 57,500 "," 56,200 "," 56,800 "," 58,200 "," 59,300 "
  Monterey Park," 55,600 "," 56,600 "," 58,200 "," 59,200 "," 60,200 "," 60,600 "," 58,700 "," 59,600 "," 59,900 "," 60,600 "
  Norwalk," 85,300 "," 86,000 "," 86,700 "," 87,800 "," 88,700 "," 89,400 "," 90,900 "," 91,600 "," 92,600 "," 93,800 "
  Palmdale," 13,600 "," 15,400 "," 17,150 "," 19,600 "," 23,150 "," 26,900 "," 37,050 "," 43,600 "," 51,000 "," 62,300 "
  Palos Verdes Estates," 14,250 "," 14,250 "," 14,200 "," 14,150 "," 14,050 "," 14,000 "," 13,950 "," 13,850 "," 13,650 "," 13,500 "
  Paramount," 37,350 "," 38,650 "," 40,100 "," 40,600 "," 41,150 "," 41,800 "," 42,850 "," 43,850 "," 45,850 "," 47,300 "
  Pasadena," 119,100 "," 121,200 "," 123,600 "," 125,500 "," 127,400 "," 127,800 "," 128,800 "," 129,500 "," 130,000 "," 131,200 "
  Pico Rivera," 53,900 "," 55,000 "," 55,700 "," 56,500 "," 56,700 "," 57,700 "," 55,100 "," 56,400 "," 57,900 "," 59,000 "
  Pomona," 97,200 "," 101,500 "," 105,200 "," 109,200 "," 113,900 "," 118,300 "," 123,300 "," 125,200 "," 127,300 "," 130,100 "
  Rancho Palos Verdes," 36,050 "," 35,800 "," 35,550 "," 43,150 "," 43,000 "," 42,900 "," 42,800 "," 42,550 "," 41,900 "," 41,600 "
  Redondo Beach," 57,200 "," 58,200 "," 60,100 "," 60,600 "," 60,600 "," 60,900 "," 61,000 "," 61,000 "," 60,400 "," 60,400 "
  Rolling Hills," 2,040 "," 2,030 "," 2,020 "," 2,010 "," 2,000 "," 1,970 "," 1,960 "," 1,930 "," 1,900 "," 1,880 "
  Rolling Hills Estates," 7,700 "," 7,725 "," 7,725 "," 7,750 "," 7,825 "," 7,825 "," 7,875 "," 7,900 "," 7,850 "," 7,800 "
  Rosemead," 43,200 "," 44,550 "," 45,800 "," 46,900 "," 47,650 "," 48,300 "," 48,950 "," 49,700 "," 50,500 "," 51,400 "
  San Dimas," 24,900 "," 26,100 "," 26,350 "," 26,700 "," 27,450 "," 28,350 "," 29,050 "," 31,000 "," 31,850 "," 32,400 "
  San Fernando," 17,950 "," 18,550 "," 19,150 "," 19,750 "," 20,300 "," 20,900 "," 21,600 "," 21,800 "," 22,450 "," 22,650 "
  San Gabriel," 30,450 "," 31,200 "," 31,950 "," 32,450 "," 32,850 "," 33,400 "," 34,550 "," 35,250 "," 36,050 "," 37,000 "
  San Marino," 13,300 "," 13,300 "," 13,400 "," 13,500 "," 13,450 "," 13,450 "," 13,450 "," 13,300 "," 13,200 "," 13,000 "
  Santa Clarita, (1), (1), (1), (1), (1), (1), (1)," 103,500 "," 109,300 "," 110,800 "
  Santa Fe Springs," 14,550 "," 14,550 "," 14,550 "," 14,700 "," 14,700 "," 14,750 "," 14,800 "," 14,750 "," 15,600 "," 15,550 "
  Santa Monica," 88,100 "," 88,800 "," 89,900 "," 90,300 "," 89,700 "," 88,900 "," 89,000 "," 88,900 "," 87,500 "," 87,000 "
  Sierra Madre," 10,750 "," 10,700 "," 10,750 "," 10,700 "," 10,750 "," 10,800 "," 10,800 "," 10,800 "," 10,800 "," 10,850 "
  Signal Hill," 5,900 "," 6,225 "," 7,075 "," 7,500 "," 7,800 "," 8,100 "," 8,250 "," 8,175 "," 8,300 "," 8,350 "
  South El Monte," 17,600 "," 18,050 "," 18,450 "," 18,950 "," 19,350 "," 19,950 "," 19,450 "," 19,950 "," 20,450 "," 20,800 "
  South Gate," 68,700 "," 71,600 "," 74,900 "," 77,200 "," 78,900 "," 80,700 "," 82,700 "," 83,600 "," 84,400 "," 85,700 "
  South Pasadena," 22,700 "," 22,950 "," 23,250 "," 23,500 "," 23,500 "," 23,650 "," 23,850 "," 23,600 "," 23,750 "," 23,900 "
  Temple City," 29,500 "," 30,100 "," 30,500 "," 30,700 "," 30,850 "," 30,900 "," 31,300 "," 31,300 "," 30,950 "," 30,950 "
  Torrance," 129,700 "," 130,800 "," 132,300 "," 133,100 "," 133,400 "," 133,600 "," 134,500 "," 134,600 "," 134,900 "," 134,700 "
  Vernon, 95 , 100 , 110 , 110 , 110 , 130 , 130 , 130 , 140 , 150 
  Walnut," 12,550 "," 13,100 "," 13,750 "," 15,250 "," 17,950 "," 18,800 "," 21,600 "," 24,550 "," 26,850 "," 29,150 "
  West Covina," 83,200 "," 87,400 "," 89,100 "," 90,000 "," 91,200 "," 92,500 "," 94,200 "," 94,900 "," 95,300 "," 95,900 "
  West Hollywood, (1), (1), (1), (1)," 36,750 "," 36,750 "," 36,850 "," 36,500 "," 36,350 "," 36,200 "
  Westlake Village, (1)," 6,350 "," 6,300 "," 6,275 "," 6,200 "," 6,100 "," 6,275 "," 6,400 "," 6,675 "," 7,075 "
  Whittier," 68,700 "," 69,600 "," 70,700 "," 71,700 "," 72,400 "," 73,500 "," 74,900 "," 74,600 "," 75,700 "," 77,400 "
  Incorporated," 6,551,800 "," 6,673,900 "," 6,824,800 "," 6,957,300 "," 7,113,200 "," 7,250,200 "," 7,379,500 "," 7,595,600 "," 7,703,900 "," 7,865,000 "
  Unincorporated," 1,003,200 "," 1,016,000 "," 1,022,100 "," 1,027,700 "," 1,007,800 "," 1,035,900 "," 1,072,700 "," 989,700 "," 1,002,300 "," 967,500 "
,,,,,,,,,,
MADERA," 65,500 "," 68,000 "," 70,000 "," 71,900 "," 73,800 "," 75,500 "," 77,300 "," 79,900 "," 82,200 "," 86,400 "
  Chowchilla," 5,125 "," 5,200 "," 5,250 "," 5,650 "," 5,725 "," 5,775 "," 5,775 "," 5,725 "," 5,725 "," 5,875 "
  Madera," 22,600 "," 23,700 "," 24,700 "," 25,200 "," 25,950 "," 26,550 "," 27,000 "," 27,500 "," 27,700 "," 28,800 "
  Incorporated," 27,750 "," 28,900 "," 29,900 "," 30,850 "," 31,650 "," 32,300 "," 32,750 "," 33,200 "," 33,400 "," 34,700 "
  Unincorporated," 37,750 "," 39,100 "," 40,050 "," 41,050 "," 42,150 "," 43,200 "," 44,550 "," 46,750 "," 48,750 "," 51,700 "
,,,,,,,,,,
MARIN," 222,900 "," 222,800 "," 222,500 "," 222,400 "," 220,500 "," 220,800 "," 221,700 "," 222,100 "," 224,500 "," 229,900 "
  Belvedere," 2,380 "," 2,350 "," 2,310 "," 2,270 "," 2,230 "," 2,210 "," 2,160 "," 2,130 "," 2,130 "," 2,160 "
  Corte Madera," 8,225 "," 8,300 "," 8,300 "," 8,275 "," 8,200 "," 8,100 "," 8,075 "," 8,100 "," 8,150 "," 8,300 "
  Fairfax," 7,400 "," 7,400 "," 7,375 "," 7,350 "," 7,350 "," 7,325 "," 7,300 "," 7,500 "," 7,275 "," 6,975 "
  Larkspur," 11,350 "," 11,400 "," 11,400 "," 11,300 "," 11,150 "," 11,100 "," 11,050 "," 10,950 "," 11,000 "," 11,100 "
  Mill Valley," 12,900 "," 12,800 "," 12,800 "," 12,600 "," 12,700 "," 12,700 "," 12,900 "," 13,050 "," 13,000 "," 13,100 "
  Novato," 44,650 "," 44,500 "," 44,400 "," 44,150 "," 43,900 "," 44,200 "," 44,900 "," 45,100 "," 46,250 "," 47,650 "
  Ross," 2,750 "," 2,680 "," 2,630 "," 2,520 "," 2,440 "," 2,370 "," 2,320 "," 2,230 "," 2,190 "," 2,140 "
  San Anselmo," 12,000 "," 11,950 "," 11,900 "," 11,850 "," 11,800 "," 11,750 "," 11,650 "," 11,600 "," 11,600 "," 11,750 "
  San Rafael," 44,800 "," 44,900 "," 45,050 "," 45,000 "," 44,900 "," 45,500 "," 46,200 "," 46,550 "," 47,350 "," 48,400 "
  Sausalito," 7,300 "," 7,400 "," 7,475 "," 7,400 "," 7,325 "," 7,225 "," 7,225 "," 7,150 "," 7,175 "," 7,175 "
  Tiburon," 6,625 "," 6,525 "," 6,450 "," 6,375 "," 7,450 "," 7,500 "," 7,575 "," 7,625 "," 7,525 "," 7,500 "
  Incorporated," 160,400 "," 160,200 "," 160,100 "," 159,100 "," 159,400 "," 159,900 "," 161,300 "," 162,000 "," 163,700 "," 166,200 "
  Unincorporated," 62,500 "," 62,700 "," 62,400 "," 63,300 "," 61,100 "," 60,800 "," 60,300 "," 60,100 "," 60,800 "," 63,700 "
,,,,,,,,,,
MARIPOSA," 11,300 "," 11,550 "," 11,750 "," 11,950 "," 12,300 "," 12,550 "," 12,800 "," 13,150 "," 13,450 "," 14,050 "
  Unincorporated," 11,300 "," 11,550 "," 11,750 "," 11,950 "," 12,300 "," 12,550 "," 12,800 "," 13,150 "," 13,450 "," 14,050 "
,,,,,,,,,,
MENDOCINO," 67,800 "," 69,200 "," 70,300 "," 71,300 "," 72,700 "," 74,000 "," 75,000 "," 76,200 "," 77,600 "," 79,700 "
  Fort Bragg," 5,275 "," 5,300 "," 5,475 "," 5,525 "," 5,600 "," 5,675 "," 5,775 "," 5,850 "," 5,900 "," 6,025 "
  Point Arena, 430 , 450 , 450 , 430 , 460 , 430 , 420 , 400 , 400 , 410 
  Ukiah," 12,200 "," 12,400 "," 12,900 "," 13,050 "," 13,200 "," 13,450 "," 13,600 "," 13,850 "," 14,350 "," 14,600 "
  Willits," 4,030 "," 4,140 "," 4,220 "," 4,450 "," 4,560 "," 4,620 "," 4,730 "," 4,790 "," 4,910 "," 4,990 "
  Incorporated," 21,950 "," 22,300 "," 23,050 "," 23,450 "," 23,800 "," 24,150 "," 24,500 "," 24,900 "," 25,550 "," 26,000 "
  Unincorporated," 45,850 "," 46,900 "," 47,250 "," 47,850 "," 48,850 "," 49,850 "," 50,500 "," 51,300 "," 52,100 "," 53,700 "
,,,,,,,,,,
MERCED," 137,600 "," 141,400 "," 145,400 "," 150,200 "," 154,700 "," 158,300 "," 161,200 "," 165,400 "," 170,000 "," 176,300 "
  Atwater," 18,050 "," 18,250 "," 18,150 "," 18,900 "," 19,500 "," 19,900 "," 20,600 "," 21,100 "," 21,500 "," 22,100 "
  Dos Palos," 3,140 "," 3,170 "," 3,370 "," 3,480 "," 3,690 "," 3,960 "," 4,000 "," 4,060 "," 4,140 "," 4,190 "
  Gustine," 3,260 "," 3,330 "," 3,370 "," 3,380 "," 3,440 "," 3,490 "," 3,460 "," 3,630 "," 3,870 "," 3,920 "
  Livingston," 5,475 "," 5,650 "," 5,725 "," 5,875 "," 6,075 "," 6,275 "," 6,550 "," 6,700 "," 7,175 "," 7,275 "
  Los Banos," 10,700 "," 10,950 "," 11,100 "," 11,450 "," 11,900 "," 12,000 "," 12,100 "," 12,200 "," 12,500 "," 13,750 "
  Merced," 38,250 "," 40,250 "," 42,350 "," 44,250 "," 44,750 "," 47,050 "," 48,600 "," 51,300 "," 53,300 "," 55,700 "
  Incorporated," 78,900 "," 81,600 "," 84,100 "," 87,300 "," 89,300 "," 92,700 "," 95,300 "," 99,000 "," 102,500 "," 106,900 "
  Unincorporated," 58,700 "," 59,900 "," 61,400 "," 63,000 "," 65,300 "," 65,600 "," 66,000 "," 66,500 "," 67,500 "," 69,400 "
,,,,,,,,,,
MODOC," 8,825 "," 9,100 "," 9,325 "," 9,475 "," 9,475 "," 9,325 "," 9,200 "," 9,175 "," 9,325 "," 9,600 "
  Alturas," 3,060 "," 3,160 "," 3,190 "," 3,290 "," 3,250 "," 3,190 "," 3,100 "," 3,010 "," 3,000 "," 3,190 "
