REPORT 90 E-4,,,,,,,,,,
Population Estimates for California State and Counties,,,,,,,,,,
"January 1, 1981 to January 1, 1990",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTY,1-1-81  ,1-1-82  ,1-1-83  ,1-1-84  ,1-1-85  ,1-1-86  ,1-1-87  ,1-1-88  ,1-1-89  ,1-1-90  
San Francisco," 684,000 "," 691,200 "," 699,800 "," 708,700 "," 720,400 "," 732,900 "," 736,700 "," 733,300 "," 727,500 "," 724,000 "
San Joaquin," 356,200 "," 368,300 "," 380,600 "," 393,300 "," 408,600 "," 425,400 "," 441,600 "," 454,800 "," 466,300 "," 477,700 "
San Luis Obispo," 159,200 "," 164,000 "," 168,300 "," 173,500 "," 179,900 "," 187,800 "," 193,900 "," 198,900 "," 205,800 "," 215,000 "
,,,,,,,,,,
San Mateo," 589,600 "," 592,900 "," 599,600 "," 607,900 "," 614,400 "," 618,600 "," 622,600 "," 629,800 "," 638,300 "," 647,400 "
Santa Barbara," 303,200 "," 309,900 "," 318,000 "," 326,200 "," 333,900 "," 341,900 "," 348,300 "," 353,000 "," 359,800 "," 368,000 "
Santa Clara," 1,311,600 "," 1,332,300 "," 1,355,500 "," 1,379,100 "," 1,400,300 "," 1,415,300 "," 1,427,000 "," 1,445,100 "," 1,471,100 "," 1,493,800 "
Santa Cruz," 191,000 "," 194,600 "," 198,200 "," 201,700 "," 206,000 "," 210,700 "," 215,400 "," 219,200 "," 224,500 "," 228,700 "
Shasta," 118,600 "," 121,100 "," 122,500 "," 124,500 "," 127,500 "," 130,200 "," 132,700 "," 136,200 "," 140,100 "," 145,300 "
,,,,,,,,,,
Sierra," 3,080 "," 3,150 "," 3,250 "," 3,240 "," 3,230 "," 3,210 "," 3,160 "," 3,230 "," 3,230 "," 3,280 "
Siskiyou," 40,350 "," 41,000 "," 41,250 "," 41,150 "," 41,350 "," 41,300 "," 41,200 "," 41,650 "," 42,400 "," 43,300 "
Solano," 241,900 "," 250,700 "," 258,500 "," 263,800 "," 269,400 "," 278,500 "," 291,500 "," 304,500 "," 318,000 "," 335,200 "
Sonoma," 305,100 "," 311,500 "," 317,800 "," 323,100 "," 329,700 "," 338,800 "," 348,500 "," 359,600 "," 371,300 "," 384,700 "
Stanislaus," 271,700 "," 278,400 "," 285,200 "," 291,800 "," 298,400 "," 307,300 "," 318,900 "," 331,700 "," 346,400 "," 365,100 "
,,,,,,,,,,
Sutter," 53,200 "," 54,600 "," 56,100 "," 56,900 "," 57,300 "," 58,200 "," 59,200 "," 60,600 "," 61,800 "," 63,700 "
Tehama," 39,650 "," 40,700 "," 41,700 "," 42,550 "," 43,550 "," 44,350 "," 45,150 "," 46,300 "," 47,450 "," 49,100 "
Trinity," 12,150 "," 12,300 "," 12,350 "," 12,500 "," 12,700 "," 12,750 "," 12,600 "," 12,700 "," 13,000 "," 13,050 "
Tulare," 250,800 "," 257,200 "," 264,000 "," 270,900 "," 277,300 "," 283,700 "," 289,700 "," 296,000 "," 301,700 "," 309,200 "
Tuolumne," 34,800 "," 35,850 "," 37,000 "," 37,800 "," 38,950 "," 41,100 "," 42,400 "," 44,200 "," 46,050 "," 48,000 "
,,,,,,,,,,
Ventura," 538,400 "," 552,200 "," 566,000 "," 578,700 "," 590,700 "," 604,300 "," 618,800 "," 635,900 "," 653,500 "," 666,800 "
Yolo," 114,500 "," 116,300 "," 118,200 "," 119,600 "," 122,200 "," 124,200 "," 126,400 "," 131,500 "," 135,100 "," 140,000 "
Yuba," 49,800 "," 50,700 "," 51,500 "," 52,000 "," 52,700 "," 53,300 "," 54,200 "," 55,300 "," 56,300 "," 57,700 "
,,,,,,,,,,
CALIFORNIA," 24,039,000 "," 24,547,000 "," 25,076,000 "," 25,587,000 "," 26,113,000 "," 26,742,000 "," 27,388,000 "," 28,061,000 "," 28,771,000 "," 29,558,000 "
,,,,,,,,,,
State totals may not equal sum due to independent rounding.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
REPORT 90 E-4,,,,,,,,,,
Population Estimates for California Cities and Counties,,,,,,,,,,
"January 1, 1981 to January 1, 1990",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Totals may not equal sum due to independent rounding.,,,,,,,,,,
(1) Unincorporated at this time.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTY,,,,,,,,,,
  City,1-1-81  ,1-1-82  ,1-1-83  ,1-1-84  ,1-1-85  ,1-1-86  ,1-1-87  ,1-1-88  ,1-1-89  ,1-1-90  
,,,,,,,,,,
ALAMEDA," 1,117,800 "," 1,134,000 "," 1,151,800 "," 1,170,400 "," 1,185,500 "," 1,206,900 "," 1,220,600 "," 1,242,300 "," 1,261,200 "," 1,274,700 "
  Alameda," 64,200 "," 64,400 "," 66,200 "," 70,100 "," 68,000 "," 71,300 "," 69,400 "," 74,400 "," 75,500 "," 72,500 "
  Albany," 15,100 "," 15,150 "," 15,350 "," 15,400 "," 15,300 "," 15,250 "," 15,250 "," 15,400 "," 16,350 "," 16,350 "
  Berkeley," 103,300 "," 104,700 "," 105,500 "," 104,600 "," 105,500 "," 104,500 "," 104,300 "," 103,700 "," 103,600 "," 103,000 "
  Dublin, (1), (1)," 14,350 "," 14,500 "," 14,150 "," 16,150 "," 19,200 "," 20,050 "," 21,400 "," 23,450 "
  Emeryville," 3,900 "," 3,880 "," 3,890 "," 3,950 "," 4,190 "," 4,650 "," 4,650 "," 4,930 "," 5,075 "," 5,750 "
  Fremont," 135,300 "," 137,900 "," 140,000 "," 143,000 "," 146,600 "," 152,300 "," 157,100 "," 164,000 "," 168,700 "," 172,700 "
  Hayward," 95,400 "," 96,800 "," 99,500 "," 101,100 "," 102,400 "," 104,000 "," 105,600 "," 107,500 "," 109,800 "," 111,300 "
  Livermore," 48,600 "," 49,400 "," 50,200 "," 51,000 "," 52,200 "," 53,200 "," 53,700 "," 54,600 "," 55,100 "," 56,400 "
  Newark," 32,500 "," 32,400 "," 34,200 "," 34,850 "," 35,800 "," 36,150 "," 36,800 "," 37,850 "," 37,750 "," 37,850 "
  Oakland," 343,100 "," 347,400 "," 352,900 "," 357,800 "," 360,900 "," 363,000 "," 366,500 "," 367,700 "," 370,000 "," 372,300 "
  Piedmont," 10,500 "," 10,500 "," 10,600 "," 10,550 "," 10,550 "," 10,550 "," 10,550 "," 10,550 "," 10,600 "," 10,600 "
  Pleasanton," 35,000 "," 35,100 "," 35,600 "," 36,600 "," 38,750 "," 42,300 "," 43,100 "," 44,600 "," 47,900 "," 50,700 "
  San Leandro," 64,800 "," 65,400 "," 65,900 "," 66,500 "," 66,200 "," 66,100 "," 66,800 "," 67,400 "," 68,300 "," 68,300 "
  Union City," 41,000 "," 42,800 "," 44,300 "," 47,050 "," 49,600 "," 51,000 "," 52,100 "," 52,400 "," 52,800 "," 53,700 "
