,"Table 2: E-4 Population Estimates for Cities, Counties, and State",,,,,,,,
,2011-2018 with 2010 Benchmark,,,,,,,,
,,,,,,,,,
COUNTY/CITY,4/1/10,1/1/11,1/1/12,1/1/13,1/1/14,1/1/15,1/1/16,1/1/17,1/1/18
,,,,,,,,,
California,,,,,,,,,
Lafayette           ,"23,893","23,904","24,017","24,215","24,550","24,902","25,078","25,416","25,655"
Martinez            ,"35,824","35,968","36,110","36,554","36,829","37,264","37,415","37,831","38,097"
Moraga              ,"16,016","16,097","16,234","16,376","16,507","16,658","16,776","16,866","16,991"
Oakley,"35,432","36,266","36,770","37,705","38,661","39,729","40,459","41,116","41,742"
Orinda              ,"17,643","17,688","17,803","17,961","18,137","18,637","18,821","19,012","19,199"
Pinole              ,"18,390","18,397","18,479","18,627","18,756","18,839","18,924","19,101","19,236"
Pittsburg           ,"63,264","64,483","65,407","66,499","67,849","68,895","70,233","71,342","72,647"
Pleasant Hill       ,"33,152","33,306","33,579","33,894","34,178","34,503","34,745","34,944","35,068"
Richmond            ,"103,701","105,130","105,553","106,812","107,735","108,480","109,794","110,114","110,967"
San Pablo           ,"29,139","29,202","29,353","29,697","30,011","30,616","31,126","31,383","31,593"
San Ramon           ,"72,148","72,997","74,588","76,459","77,459","78,561","79,567","81,354","82,643"
Walnut Creek        ,"64,173","65,092","65,560","66,350","67,039","68,128","69,736","70,558","70,667"
Balance Of County    ,"159,785","161,090","162,999","164,471","166,918","168,638","170,359","172,082","172,513"
Incorporated,"889,240","898,467","907,441","919,466","931,100","943,690","956,920","967,231","976,850"
County Total,"1,049,025","1,059,557","1,070,440","1,083,937","1,098,018","1,112,328","1,127,279","1,139,313","1,149,363"
,,,,,,,,,
Del Norte County,,,,,,,,,
Crescent City       ,"7,643","7,442","7,310","7,054","6,703","6,570","6,388","6,178","6,590"
Balance Of County    ,"20,967","20,921","20,901","20,738","20,640","20,383","20,568","20,882","20,631"
Incorporated,"7,643","7,442","7,310","7,054","6,703","6,570","6,388","6,178","6,590"
County Total,"28,610","28,363","28,211","27,792","27,343","26,953","26,956","27,060","27,221"
,,,,,,,,,
El Dorado County,,,,,,,,,
Placerville         ,"10,389","10,341","10,350","10,310","10,450","10,439","10,443","10,568","10,642"
South Lake Tahoe    ,"21,403","20,922","20,800","20,574","20,598","20,606","20,599","21,068","21,892"
Balance Of County    ,"149,266","149,964","150,037","149,845","150,982","152,127","153,419","154,587","155,865"
Incorporated,"31,792","31,263","31,150","30,884","31,048","31,045","31,042","31,636","32,534"
County Total,"181,058","181,227","181,187","180,729","182,030","183,172","184,461","186,223","188,399"
,,,,,,,,,
Fresno County,,,,,,,,,
Clovis              ,"95,631","97,127","98,947","100,559","102,442","105,220","107,958","110,532","113,883"
Coalinga            ,"18,087","17,990","16,766","16,695","16,383","16,484","16,654","16,987","16,791"
Firebaugh           ,"7,549","7,714","7,881","7,913","7,951","8,101","8,095","8,047","8,112"
Fowler              ,"5,570","5,674","5,680","5,726","5,777","5,841","5,918","6,092","6,241"
Fresno              ,"494,665","499,751","508,483","513,371","519,157","524,938","529,552","533,670","538,330"
Huron               ,"6,754","6,787","6,815","6,836","6,867","6,895","7,009","7,274","7,302"
Kerman              ,"13,544","13,731","13,973","14,289","14,354","14,423","14,507","14,743","15,083"
Kingsburg           ,"11,382","11,531","11,651","11,742","11,809","11,959","12,025","12,215","12,392"
Mendota             ,"11,014","11,124","11,330","11,383","11,409","11,418","11,560","11,704","12,051"
Orange Cove         ,"9,078","9,108","9,163","9,194","9,196","9,117","9,141","9,279","9,469"
Parlier             ,"14,494","14,540","14,640","14,689","14,755","14,815","15,112","15,283","15,493"
Reedley             ,"24,194","24,512","24,785","25,200","25,286","25,875","25,935","26,023","26,390"
Sanger              ,"24,270","24,441","24,677","24,794","24,912","25,286","25,878","26,249","26,648"
San Joaquin         ,"4,001","4,018","4,037","4,043","4,056","4,068","4,076","4,095","4,119"
Selma               ,"23,219","23,346","23,704","23,864","23,956","24,027","24,288","24,585","24,742"
Balance Of County    ,"166,998","166,770","164,884","165,647","166,301","166,576","166,829","168,455","170,183"
Incorporated,"763,452","771,394","782,532","790,298","798,310","808,467","817,708","826,778","837,046"
County Total,"930,450","938,164","947,416","955,945","964,611","975,043","984,537","995,233","1,007,229"
,,,,,,,,,
