,"Table 2: E-4 Population Estimates for Cities, Counties, and State",,,,,,,,
,2011-2018 with 2010 Benchmark,,,,,,,,
,,,,,,,,,
COUNTY/CITY,4/1/10,1/1/11,1/1/12,1/1/13,1/1/14,1/1/15,1/1/16,1/1/17,1/1/18
,,,,,,,,,
California,,,,,,,,,
Livingston          ,"13,058","13,249","13,407","13,489","13,705","13,762","13,849","13,972","14,328"
Los Banos           ,"35,972","36,911","37,647","37,992","38,182","38,838","39,660","40,009","40,986"
Merced              ,"78,958","79,882","81,216","82,157","82,711","83,945","85,003","85,953","86,750"
Balance Of County    ,"89,167","89,640","89,869","90,464","91,489","91,571","91,318","93,213","95,125"
Incorporated,"166,626","169,148","172,231","173,923","175,039","177,540","180,182","181,891","184,852"
County Total,"255,793","258,788","262,100","264,387","266,528","269,111","271,500","275,104","279,977"
,,,,,,,,,
Modoc County,,,,,,,,,
Alturas             ,"2,827","2,857","2,856","2,852","2,868","2,887","2,900","2,844","2,868"
Balance Of County    ,"6,859","6,861","6,803","6,794","6,768","6,730","6,725","6,718","6,744"
Incorporated,"2,827","2,857","2,856","2,852","2,868","2,887","2,900","2,844","2,868"
County Total,"9,686","9,718","9,659","9,646","9,636","9,617","9,625","9,562","9,612"
,,,,,,,,,
Mono County,,,,,,,,,
Mammoth Lakes       ,"8,234","8,339","8,314","8,214","8,189","8,301","8,299","8,305","8,316"
Balance Of County    ,"5,968","5,938","5,942","5,817","5,746","5,567","5,377","5,454","5,506"
Incorporated,"8,234","8,339","8,314","8,214","8,189","8,301","8,299","8,305","8,316"
County Total,"14,202","14,277","14,256","14,031","13,935","13,868","13,676","13,759","13,822"
,,,,,,,,,
Monterey County,,,,,,,,,
Carmel-By-The-Sea   ,"3,722","3,693","3,723","3,754","3,735","3,720","3,716","3,744","3,750"
Del Rey Oaks        ,"1,624","1,627","1,638","1,654","1,660","1,663","1,677","1,693","1,692"
Gonzales            ,"8,187","8,218","8,284","8,370","8,406","8,440","8,521","8,593","8,587"
Greenfield          ,"16,330","16,421","16,607","16,958","17,053","17,161","17,628","18,016","18,007"
King City           ,"12,874","13,130","13,493","13,697","13,815","14,370","14,720","14,802","14,880"
Marina              ,"19,718","19,746","20,016","20,229","20,302","21,039","21,595","22,143","22,424"
Monterey            ,"27,810","27,830","28,088","28,004","27,914","27,946","28,058","28,412","28,323"
Pacific Grove       ,"15,041","14,928","15,120","15,223","15,237","15,348","15,382","15,671","15,660"
Salinas             ,"150,441","152,151","154,418","156,716","158,152","159,308","161,273","161,521","161,784"
Sand City           ,334,336,340,343,347,369,375,377,394
Seaside             ,"33,025","32,856","33,352","33,757","33,796","34,189","34,165","34,185","34,270"
Soledad             ,"25,738","26,365","26,463","25,799","25,294","25,056","25,888","26,316","26,246"
Balance Of County    ,"100,213","100,591","101,530","102,643","103,597","104,131","105,177","106,676","107,264"
Incorporated,"314,844","317,301","321,542","324,504","325,711","328,609","332,998","335,473","336,017"
County Total,"415,057","417,892","423,072","427,147","429,308","432,740","438,175","442,149","443,281"
,,,,,,,,,
Napa County,,,,,,,,,
American Canyon     ,"19,454","19,655","19,955","20,117","20,353","20,518","20,649","20,733","20,990"
Calistoga           ,"5,155","5,127","5,161","5,167","5,205","5,186","5,301","5,318","5,334"
Napa                ,"76,915","77,135","77,959","78,400","79,191","79,722","80,218","80,198","80,403"
St Helena           ,"5,814","5,796","5,825","5,840","5,944","6,019","6,076","6,082","6,118"
Yountville          ,"2,933","2,993","2,978","2,966","3,002","2,971","2,985","2,930","2,874"
Balance Of County    ,"26,213","26,195","26,242","26,348","26,494","26,468","26,482","26,523","25,575"
Incorporated,"110,271","110,706","111,878","112,490","113,695","114,416","115,229","115,261","115,719"
County Total,"136,484","136,901","138,120","138,838","140,189","140,884","141,711","141,784","141,294"
,,,,,,,,,
Nevada County,,,,,,,,,
Grass Valley        ,"12,860","13,040","13,000","12,994","13,061","13,062","13,090","13,035","13,041"
Nevada City         ,"3,068","3,206","3,201","3,201","3,177","3,287","3,314","3,232","3,226"
Truckee             ,"16,180","15,985","15,961","15,928","15,933","16,046","16,148","16,271","16,681"
Balance Of County    ,"66,656","66,198","65,968","65,650","65,671","65,822","65,968","66,075","66,207"
Incorporated,"32,108","32,231","32,162","32,123","32,171","32,395","32,552","32,538","32,948"
County Total,"98,764","98,429","98,130","97,773","97,842","98,217","98,520","98,613","99,155"
,,,,,,,,,
Orange County,,,,,,,,,
Aliso Viejo,"47,816","48,362","49,208","49,812","50,142","50,281","50,335","50,384","51,950"
Anaheim             ,"336,265","342,652","346,247","349,827","351,345","353,211","354,167","356,502","357,084"
Brea                ,"39,182","40,104","41,233","41,826","42,846","43,802","44,175","44,776","44,890"
Buena Park          ,"80,520","80,942","81,799","82,485","82,646","82,869","82,950","83,926","83,995"
Costa Mesa          ,"109,960","110,445","111,939","112,899","113,161","114,423","114,825","115,012","115,296"
Cypress             ,"47,802","48,006","48,489","48,893","49,104","49,347","49,546","49,704","49,978"
Dana Point          ,"33,351","33,270","33,367","33,581","33,595","33,656","33,768","33,897","34,071"
Fountain Valley     ,"55,313","55,404","55,871","56,350","56,683","56,773","56,815","56,916","56,920"
Fullerton           ,"135,222","135,743","138,254","139,364","140,808","141,438","142,406","143,499","144,214"
Garden Grove        ,"170,794","171,949","173,685","174,680","175,302","176,318","176,955","176,784","176,896"
Huntington Beach    ,"189,992","190,455","193,139","194,769","196,546","198,243","200,501","201,981","202,648"
Irvine              ,"212,375","218,723","224,930","232,910","243,906","251,181","256,926","267,097","276,176"
Laguna Beach        ,"22,723","22,723","22,851","23,016","23,040","23,097","23,137","23,248","23,309"
Laguna Hills        ,"30,270","30,335","30,597","30,818","30,872","30,915","30,935","31,829","31,818"
Laguna Niguel       ,"62,979","62,935","63,136","63,545","63,638","63,804","63,850","65,288","65,377"
Laguna Woods,"16,273","16,268","16,362","16,468","16,483","16,504","16,513","16,575","16,597"
La Habra            ,"60,223","60,481","61,120","61,597","61,968","62,184","62,270","62,451","62,850"
Lake Forest         ,"77,395","77,527","78,098","78,693","78,911","79,432","81,903","83,414","84,845"
La Palma            ,"15,568","15,585","15,705","15,851","15,874","15,896","15,907","15,933","15,948"
Los Alamitos        ,"11,449","11,489","11,613","11,711","11,782","11,811","11,846","11,860","11,863"
Mission Viejo       ,"93,174","93,025","93,491","94,202","94,433","94,985","95,510","95,985","95,987"
Newport Beach       ,"85,186","84,970","85,216","85,709","85,738","85,815","85,782","86,207","87,182"
Orange              ,"136,386","137,391","138,964","140,118","140,301","140,670","140,792","140,981","141,952"
Placentia           ,"50,598","50,780","51,364","52,179","52,278","52,483","52,709","52,772","52,755"
Rancho Santa Margarita,"47,853","48,001","48,495","48,884","49,025","49,205","49,258","49,301","49,329"
San Clemente        ,"63,522","63,456","63,751","64,160","64,179","64,468","64,547","65,009","65,543"
San Juan Capistrano ,"34,593","34,765","35,156","35,536","36,010","36,240","36,412","36,624","36,759"
Santa Ana           ,"324,647","327,574","330,674","333,558","335,441","337,180","337,373","337,843","338,247"
Seal Beach          ,"24,168","24,529","25,124","25,406","25,528","25,909","25,938","25,959","25,984"
Stanton             ,"38,186","38,348","38,642","38,997","39,079","39,233","39,378","39,500","39,470"
Tustin              ,"75,540","75,876","76,931","78,542","78,695","79,975","81,484","82,291","82,344"
Villa Park          ,"5,812","5,812","5,851","5,893","5,905","5,913","5,920","5,944","5,951"
Westminster         ,"89,701","90,487","91,448","92,297","92,653","93,431","93,991","94,353","94,476"
Yorba Linda         ,"64,234","64,750","65,639","66,416","67,126","67,528","67,858","68,781","69,121"
Balance Of County    ,"121,160","121,602","120,181","121,160","121,875","124,094","125,540","126,342","129,278"
Incorporated,"2,889,072","2,913,162","2,948,389","2,980,992","3,005,043","3,028,220","3,046,682","3,072,626","3,091,825"
County Total,"3,010,232","3,034,764","3,068,570","3,102,152","3,126,918","3,152,314","3,172,222","3,198,968","3,221,103"
,,,,,,,,,
Placer County,,,,,,,,,
Auburn              ,"13,330","13,575","13,833","13,897","14,145","14,280","14,387","14,507","14,611"
Colfax              ,"1,963","2,008","2,060","2,069","2,083","2,112","2,131","2,147","2,150"
Lincoln             ,"42,819","43,590","44,314","44,795","45,748","46,537","47,245","48,028","48,591"
Loomis              ,"6,430","6,504","6,559","6,580","6,623","6,633","6,678","6,780","6,824"
Rocklin             ,"56,974","58,229","58,982","59,436","59,999","60,614","61,765","64,487","66,830"
Roseville           ,"118,788","121,757","123,785","125,970","128,048","129,299","132,167","134,650","137,213"
Balance Of County    ,"108,128","107,600","108,838","109,558","110,462","110,912","111,245","112,574","113,313"
Incorporated,"240,304","245,663","249,533","252,747","256,646","259,475","264,373","270,599","276,219"
County Total,"348,432","353,263","358,371","362,305","367,108","370,387","375,618","383,173","389,532"
,,,,,,,,,
Plumas County,,,,,,,,,
Portola             ,"2,104","2,143","2,123","2,128","2,135","2,185","2,179","2,171","2,161"
Balance Of County    ,"17,903","17,848","17,848","17,792","17,758","17,675","17,668","17,647","17,612"
Incorporated,"2,104","2,143","2,123","2,128","2,135","2,185","2,179","2,171","2,161"
County Total,"20,007","19,991","19,971","19,920","19,893","19,860","19,847","19,818","19,773"
,,,,,,,,,
Riverside County,,,,,,,,,
Banning             ,"29,603","29,809","30,192","30,380","30,549","30,746","30,967","31,170","31,282"
Beaumont            ,"36,877","38,385","39,708","40,701","41,920","43,906","45,617","46,730","48,237"
Blythe              ,"20,817","19,980","20,223","19,382","18,737","18,522","19,008","19,027","19,389"
Calimesa            ,"7,879","7,811","7,883","7,936","8,036","8,114","8,212","8,567","8,876"
Canyon Lake         ,"10,561","10,550","10,572","10,617","10,652","10,673","10,728","10,882","11,018"
Cathedral City      ,"51,200","51,565","52,387","52,743","53,031","53,390","53,842","54,296","54,791"
Coachella           ,"40,704","41,507","42,336","43,210","44,101","44,486","44,940","45,273","45,635"
Corona              ,"152,374","153,708","156,205","158,489","160,955","162,396","163,341","166,819","168,574"
Desert Hot Springs  ,"25,938","27,486","28,150","28,363","28,591","28,900","29,252","29,347","29,742"
Eastvale,,"53,981","55,407","56,928","58,790","59,930","62,147","63,720","64,855"
Hemet               ,"78,657","78,676","79,306","79,773","80,196","80,439","80,997","82,417","83,166"
Indian Wells        ,"4,958","5,045","5,167","5,223","5,295","5,407","5,512","5,549","5,574"
Indio               ,"76,036","76,849","78,221","81,441","82,419","84,009","85,233","86,632","87,883"
Jurupa Valley,,,"97,039","97,808","98,420","99,742","101,412","103,661","106,054"
Lake Elsinore       ,"51,821","52,558","53,691","56,124","57,488","59,404","61,422","62,487","63,365"
La Quinta           ,"37,467","38,003","38,214","38,430","38,991","39,323","39,899","40,605","41,204"
Menifee,"77,519","78,836","80,793","82,476","83,968","85,801","87,608","89,552","91,902"
Moreno Valley       ,"193,365","195,229","196,916","198,479","199,752","201,387","202,621","204,285","207,629"
Murrieta            ,"103,466","104,457","105,209","106,299","107,254","109,408","110,166","111,793","113,541"
Norco               ,"27,063","27,251","27,469","27,033","27,006","26,198","26,727","26,799","26,761"
Palm Desert         ,"48,445","49,249","49,657","50,014","50,414","50,683","51,250","52,058","52,769"
Palm Springs        ,"44,552","44,691","45,118","45,463","45,847","46,099","46,534","47,157","47,706"
Perris              ,"68,386","69,400","71,097","72,002","73,351","74,866","76,070","77,311","77,837"
Rancho Mirage       ,"17,218","17,690","17,848","17,967","18,076","18,201","18,369","18,579","18,738"
Riverside           ,"303,871","306,145","309,775","312,973","315,129","317,890","320,226","323,190","325,860"
San Jacinto         ,"44,199","44,536","45,219","45,627","46,014","46,462","47,085","47,560","48,146"
Temecula            ,"100,097","101,662","103,704","105,359","106,749","109,144","110,536","112,040","113,181"
Wildomar,"32,176","32,437","33,060","33,534","34,136","34,751","35,270","35,882","36,287"
Balance Of County    ,"504,392","455,179","359,600","361,015","365,395","367,618","371,726","379,252","385,953"
Incorporated,"1,685,249","1,757,496","1,880,566","1,904,774","1,925,867","1,950,277","1,974,991","2,003,388","2,030,002"
County Total,"2,189,641","2,212,675","2,240,166","2,265,789","2,291,262","2,317,895","2,346,717","2,382,640","2,415,955"
,,,,,,,,,
Sacramento County,,,,,,,,,
Citrus Heights,"83,301","83,063","83,941","84,546","85,108","86,129","86,955","87,460","87,731"
Elk Grove,"153,015","154,802","156,621","159,856","161,986","164,247","166,981","170,011","172,116"
Folsom              ,"72,203","72,302","72,940","72,587","74,568","75,672","76,821","77,706","78,447"
Galt                ,"23,647","23,774","24,073","24,177","24,342","24,615","24,942","25,393","26,018"
Isleton             ,804,805,803,806,807,808,811,821,837
Rancho Cordova,"64,776","65,030","66,393","67,469","68,761","70,711","72,184","73,441","74,210"
Sacramento          ,"466,488","472,512","474,663","477,418","480,463","484,397","487,758","494,266","501,344"
Balance Of County    ,"554,554","557,002","561,222","565,609","569,929","575,390","579,159","584,317","588,798"
Incorporated,"864,234","872,288","879,434","886,859","896,035","906,579","916,452","929,098","940,703"
County Total,"1,418,788","1,429,290","1,440,656","1,452,468","1,465,964","1,481,969","1,495,611","1,513,415","1,529,501"
,,,,,,,,,
San Benito County,,,,,,,,,
Hollister           ,"34,928","35,255","35,522","35,717","35,905","36,137","36,297","36,458","36,703"
San Juan Bautista   ,"1,862","1,871","1,856","1,860","1,863","1,877","1,879","1,891","1,873"
Balance Of County    ,"18,479","18,535","18,397","18,421","18,451","18,438","18,448","18,530","18,512"
Incorporated,"36,790","37,126","37,378","37,577","37,768","38,014","38,176","38,349","38,576"
County Total,"55,269","55,661","55,775","55,998","56,219","56,452","56,624","56,879","57,088"
,,,,,,,,,
San Bernardino County,,,,,,,,,
Adelanto            ,"31,765","31,538","31,342","31,685","33,067","33,982","34,474","35,295","35,293"
Apple Valley        ,"69,135","70,183","70,703","71,171","71,637","72,206","72,744","73,349","73,984"
Barstow             ,"22,639","22,806","23,244","23,464","23,685","23,977","24,148","24,310","24,411"
Big Bear Lake       ,"5,019","5,248","5,267","5,286","5,299","5,310","5,290","5,404","5,512"
Chino               ,"77,983","78,469","78,615","79,370","81,384","83,585","83,890","85,983","86,757"
Chino Hills         ,"74,799","75,196","75,413","75,796","75,990","77,136","77,649","79,498","83,159"
Colton              ,"52,154","52,269","52,409","52,680","52,849","52,972","53,144","53,482","53,724"
Fontana             ,"196,069","197,584","199,684","200,987","202,655","204,742","207,113","210,071","212,000"
Grand Terrace       ,"12,040","12,099","12,171","12,296","12,335","12,390","12,448","12,492","12,524"
Hesperia            ,"90,173","90,572","91,034","91,471","91,753","92,288","92,879","93,590","94,829"
Highland            ,"53,104","53,322","53,338","53,552","53,674","53,629","53,680","54,167","54,761"
Loma Linda          ,"23,261","23,143","23,311","23,428","23,624","23,782","23,878","23,889","23,946"
Montclair           ,"36,664","37,012","37,159","37,325","37,449","38,454","38,701","39,012","39,326"
Needles             ,"4,844","4,866","4,986","5,030","5,057","5,165","5,224","5,183","5,177"
Ontario             ,"163,924","166,493","166,597","167,582","168,548","170,159","171,736","175,157","177,589"
Rancho Cucamonga    ,"165,269","168,302","168,908","170,326","171,622","172,029","173,241","175,282","176,671"
Redlands            ,"68,747","68,726","69,083","69,443","69,635","70,028","70,314","70,851","71,196"
Rialto              ,"99,171","99,775","101,849","102,913","103,576","105,313","106,356","106,455","107,041"
San Bernardino      ,"209,924","212,534","214,585","215,911","216,591","218,165","219,695","220,083","221,130"
Twentynine Palms    ,"25,048","25,261","25,670","26,040","26,557","25,734","25,599","26,491","27,046"
Upland              ,"73,732","73,877","73,957","74,481","74,996","76,044","76,670","76,937","77,017"
Victorville         ,"115,903","117,733","119,118","120,717","121,365","122,559","123,233","123,944","123,701"
Yucaipa             ,"51,367","51,886","52,384","52,882","53,096","53,339","53,884","54,317","54,651"
Yucca Valley        ,"20,700","20,804","20,990","21,136","21,216","21,556","21,688","21,752","21,834"
Balance Of County    ,"291,776","294,753","298,821","300,972","303,029","306,128","306,228","308,596","311,659"
Incorporated,"1,743,434","1,759,698","1,771,817","1,784,972","1,797,660","1,814,544","1,827,678","1,846,994","1,863,279"
County Total,"2,035,210","2,054,451","2,070,638","2,085,944","2,100,689","2,120,672","2,133,906","2,155,590","2,174,938"
,,,,,,,,,
San Diego County,,,,,,,,,
Carlsbad            ,"105,328","107,205","107,929","109,497","110,972","111,547","112,003","113,179","114,622"
Chula Vista         ,"243,916","245,309","250,349","255,607","259,811","261,801","263,611","265,357","267,503"
Coronado            ,"24,697","23,463","23,323","23,493","23,684","23,838","25,193","24,512","21,683"
Del Mar             ,"4,161","4,187","4,175","4,217","4,233","4,244","4,247","4,284","4,322"
El Cajon            ,"99,478","99,697","100,985","102,078","102,747","103,981","104,577","105,276","105,557"
Encinitas           ,"59,518","60,246","60,440","61,126","61,590","61,843","62,038","62,625","63,158"
Escondido           ,"143,911","144,565","146,234","147,726","148,629","149,932","150,621","150,978","151,478"
Imperial Beach      ,"26,324","26,558","26,950","27,162","27,319","27,721","27,901","28,041","28,163"
La Mesa             ,"57,065","58,412","58,846","59,427","59,805","60,181","60,735","60,980","61,261"
Lemon Grove         ,"25,320","25,510","25,600","25,799","26,083","26,402","26,477","26,710","26,834"
National City       ,"58,582","58,645","58,975","59,417","59,812","60,533","60,932","61,350","62,257"
Oceanside           ,"167,086","168,283","170,401","172,379","173,890","175,691","176,610","176,666","177,362"
Poway               ,"47,811","48,298","48,546","49,216","49,480","49,699","49,799","49,986","50,207"
San Diego           ,"1,301,617","1,310,455","1,325,254","1,344,332","1,361,017","1,376,790","1,387,362","1,399,924","1,419,845"
San Marcos          ,"83,781","84,854","85,600","87,914","90,748","92,405","93,332","94,258","95,768"
Santee              ,"53,413","54,050","54,478","55,403","55,987","56,104","56,014","56,434","56,994"
Solana Beach        ,"12,867","12,923","13,169","13,333","13,447","13,675","13,798","13,860","13,938"
Vista               ,"93,834","95,251","96,187","97,442","98,065","98,890","100,093","102,933","103,381"
Balance Of County    ,"486,604","492,052","496,080","498,120","502,950","509,172","509,134","512,156","513,123"
Incorporated,"2,608,709","2,627,911","2,657,441","2,695,568","2,727,319","2,755,277","2,775,343","2,797,353","2,824,333"
County Total,"3,095,313","3,119,963","3,153,521","3,193,688","3,230,269","3,264,449","3,284,477","3,309,509","3,337,456"
,,,,,,,,,
San Francisco County,,,,,,,,,
San Francisco,"805,235","815,365","825,465","839,674","848,448","858,224","865,709","874,008","883,963"
,,,,,,,,,
San Joaquin County,,,,,,,,,
Escalon             ,"7,132","7,187","7,185","7,203","7,245","7,332","7,353","7,479","7,558"
Lathrop             ,"18,023","18,554","19,074","19,526","20,065","21,022","22,500","23,384","24,268"
Lodi                ,"62,134","63,317","63,447","63,788","63,975","64,415","64,920","65,911","67,121"
Manteca             ,"67,096","68,449","70,232","72,001","73,266","75,211","77,360","79,349","81,345"
Ripon               ,"14,297","14,494","14,558","14,655","14,750","14,868","14,993","15,565","15,847"
Stockton            ,"291,707","291,712","295,346","297,637","300,275","305,303","308,746","311,724","315,103"
Tracy               ,"82,922","84,002","85,179","85,888","86,495","88,074","89,591","91,051","92,553"
Balance Of County    ,"141,995","143,974","143,534","144,041","146,063","147,631","149,856","152,800","154,949"
Incorporated,"543,311","547,715","555,021","560,698","566,071","576,225","585,463","594,463","603,795"
County Total,"685,306","691,689","698,555","704,739","712,134","723,856","735,319","747,263","758,744"
,,,,,,,,,
San Luis Obispo County,,,,,,,,,
Arroyo Grande       ,"17,252","17,245","17,307","17,501","17,600","17,808","17,884","17,874","17,912"
Atascadero          ,"28,310","28,654","28,836","29,234","29,524","30,350","30,909","31,135","31,147"
El Paso De Robles   ,"29,793","30,129","30,505","30,930","31,160","31,314","31,349","31,562","31,559"
Grover Beach        ,"13,156","13,205","13,227","13,345","13,407","13,489","13,565","13,593","13,560"
Morro Bay           ,"10,234","10,325","10,297","10,380","10,420","10,442","10,499","10,516","10,503"
Pismo Beach         ,"7,655","7,667","7,746","7,840","7,912","8,015","8,150","8,209","8,233"
San Luis Obispo     ,"45,119","45,456","45,356","45,710","45,942","45,965","45,981","46,424","46,548"
Balance Of County    ,"118,118","117,343","118,230","118,364","119,660","119,286","119,804","119,897","120,639"
Incorporated,"151,519","152,681","153,274","154,940","155,965","157,383","158,337","159,313","159,462"
County Total,"269,637","270,024","271,504","273,304","275,625","276,669","278,141","279,210","280,101"
,,,,,,,,,
San Mateo County,,,,,,,,,
Atherton            ,"6,914","6,925","6,954","7,003","7,007","7,041","7,074","7,100","7,135"
Belmont             ,"25,835","26,098","26,413","26,777","26,940","27,184","27,371","27,343","27,388"
Brisbane            ,"4,282","4,339","4,368","4,422","4,454","4,547","4,630","4,656","4,692"
Burlingame          ,"28,806","28,937","29,187","29,673","29,817","29,992","30,182","30,207","30,294"
Colma               ,"1,454","1,464","1,464","1,485","1,494","1,511","1,521","1,516","1,501"
Daly City           ,"101,072","102,366","103,617","105,029","106,615","107,260","107,810","107,733","107,864"
East Palo Alto      ,"28,155","28,604","29,224","29,692","29,928","30,450","30,604","30,718","30,917"
Foster City         ,"30,567","31,068","31,370","31,787","32,736","32,954","33,087","33,287","33,490"
Half Moon Bay       ,"11,324","11,429","11,552","11,685","11,742","11,907","12,284","12,456","12,639"
Hillsborough        ,"10,825","10,806","10,946","11,088","11,159","11,186","11,216","11,389","11,543"
Menlo Park          ,"32,026","32,051","32,285","32,605","32,667","32,902","32,976","34,789","35,268"
Millbrae            ,"21,532","21,653","22,141","22,390","22,461","22,578","22,668","22,796","22,854"
Pacifica            ,"37,234","37,309","37,507","37,980","38,143","38,232","38,318","38,342","38,418"
Portola Valley      ,"4,353","4,377","4,477","4,554","4,583","4,680","4,744","4,747","4,767"
Redwood City        ,"76,815","78,351","79,843","81,248","82,775","84,204","86,079","86,271","86,380"
San Bruno           ,"41,114","42,018","43,259","43,984","44,311","45,861","46,036","45,965","46,085"
San Carlos          ,"28,406","28,820","28,937","29,283","29,425","29,489","29,534","29,681","29,897"
San Mateo           ,"97,207","97,571","98,419","99,743","100,403","101,608","103,006","103,465","104,490"
South San Francisco ,"63,632","64,083","64,523","65,691","65,992","66,297","66,597","66,752","67,082"
Woodside            ,"5,287","5,327","5,394","5,477","5,509","5,535","5,570","5,593","5,623"
Balance Of County    ,"61,611","62,730","63,326","64,203","64,539","64,925","65,282","65,450","65,828"
Incorporated,"656,840","663,596","671,880","681,596","688,161","695,418","701,307","704,806","708,327"
County Total,"718,451","726,326","735,206","745,799","752,700","760,343","766,589","770,256","774,155"
,,,,,,,,,
Santa Barbara County,,,,,,,,,
Buellton            ,"4,828","4,854","4,852","4,882","4,917","4,912","4,921","5,098","5,291"
Carpinteria         ,"13,044","12,990","13,029","13,134","13,510","13,580","13,705","13,697","13,704"
Goleta,"29,888","29,916","29,921","30,114","30,388","30,734","31,225","31,622","31,949"
Guadalupe           ,"7,080","7,059","7,089","7,142","7,205","7,254","7,302","7,341","7,604"
Lompoc              ,"42,434","42,153","43,085","43,253","43,969","44,169","44,027","43,881","43,599"
Santa Barbara       ,"88,410","89,146","90,103","91,458","92,552","93,777","94,290","94,244","94,807"
Santa Maria         ,"99,553","100,275","101,501","102,412","103,603","104,968","106,744","107,978","108,470"
Solvang             ,"5,245","5,296","5,307","5,331","5,393","5,420","5,460","5,653","5,771"
Balance Of County    ,"133,413","132,711","133,307","135,347","136,975","138,173","139,399","140,511","142,262"
Incorporated,"290,482","291,689","294,887","297,726","301,537","304,814","307,674","309,514","311,195"
County Total,"423,895","424,400","428,194","433,073","438,512","442,987","447,073","450,025","453,457"
,,,,,,,,,
Santa Clara County,,,,,,,,,
Campbell            ,"39,349","39,732","39,772","40,277","41,710","41,742","42,097","42,372","42,696"
Cupertino           ,"58,302","58,576","58,941","59,472","59,539","59,579","59,667","60,079","60,091"
Gilroy              ,"48,821","49,122","50,248","51,755","52,582","53,654","54,422","55,336","55,615"
Los Altos           ,"28,976","29,356","29,711","30,082","30,202","30,414","31,156","31,298","31,361"
Los Altos Hills     ,"7,922","7,999","7,998","8,229","8,285","8,306","8,332","8,417","8,568"
Los Gatos           ,"29,413","29,531","29,659","30,053","30,242","30,229","30,271","30,448","30,601"
Milpitas            ,"66,790","66,648","67,047","68,058","70,123","72,973","74,085","74,327","74,865"
Monte Sereno        ,"3,341","3,373","3,387","3,422","3,429","3,445","3,466","3,528","3,630"
Morgan Hill         ,"37,882","37,806","38,901","39,942","41,022","41,992","43,217","43,680","44,513"
Mountain View       ,"74,066","75,199","75,972","77,069","77,447","78,970","80,122","80,897","81,527"
Palo Alto           ,"64,403","65,123","66,203","67,192","67,633","68,312","69,184","69,446","69,721"
San Jose            ,"945,942","964,541","981,021","995,609","1,010,358","1,025,979","1,035,312","1,042,782","1,051,316"
Santa Clara         ,"116,468","118,573","119,950","121,685","122,504","123,155","125,265","125,528","129,604"
Saratoga            ,"29,926","30,357","30,571","30,948","31,062","31,097","31,219","31,271","31,435"
Sunnyvale           ,"140,081","141,334","143,179","146,368","147,085","148,350","149,697","150,599","153,389"
Balance Of County    ,"89,960","86,059","86,283","87,050","86,974","86,959","87,070","87,465","87,666"
Incorporated,"1,691,682","1,717,270","1,742,560","1,770,161","1,793,223","1,818,197","1,837,512","1,850,008","1,868,932"
County Total,"1,781,642","1,803,329","1,828,843","1,857,211","1,880,197","1,905,156","1,924,582","1,937,473","1,956,598"
,,,,,,,,,
Santa Cruz County,,,,,,,,,
Capitola            ,"9,918","9,864","10,066","10,152","10,215","10,421","10,533","10,570","10,563"
Santa Cruz          ,"59,946","61,692","62,621","63,334","63,822","65,031","65,826","66,170","66,454"
Scotts Valley       ,"11,580","11,598","11,697","11,796","11,944","12,137","12,195","12,196","12,195"
Watsonville         ,"51,199","51,283","51,933","52,233","52,571","53,129","53,449","53,447","53,434"
Balance Of County    ,"129,739","130,365","130,917","131,677","132,582","133,248","133,734","134,121","134,218"
Incorporated,"132,643","134,437","136,317","137,515","138,552","140,718","142,003","142,383","142,646"
County Total,"262,382","264,802","267,234","269,192","271,134","273,966","275,737","276,504","276,864"
,,,,,,,,,
Shasta County,,,,,,,,,
Anderson            ,"9,932","9,954","10,138","10,209","10,276","10,297","10,218","10,240","10,263"
Redding             ,"89,861","89,900","90,083","90,621","90,987","91,373","91,077","91,221","91,357"
Shasta Lake         ,"10,164","10,109","10,042","10,079","10,095","10,150","10,095","10,134","10,143"
Balance Of County    ,"67,266","67,640","67,328","67,521","67,473","67,184","66,484","66,553","66,508"
Incorporated,"109,957","109,963","110,263","110,909","111,358","111,820","111,390","111,595","111,763"
County Total,"177,223","177,603","177,591","178,430","178,831","179,004","177,874","178,148","178,271"
,,,,,,,,,
Sierra County,,,,,,,,,
Loyalton            ,769,787,776,770,766,759,756,760,757
Balance Of County    ,"2,471","2,454","2,457","2,445","2,438","2,436","2,439","2,443","2,450"
Incorporated,769,787,776,770,766,759,756,760,757
County Total,"3,240","3,241","3,233","3,215","3,204","3,195","3,195","3,203","3,207"
,,,,,,,,,
Siskiyou County,,,,,,,,,
Dorris              ,939,928,946,949,955,986,"1,001",985,966
Dunsmuir            ,"1,650","1,690","1,681","1,677","1,679","1,698","1,700","1,688","1,680"
Etna                ,737,737,739,738,740,753,755,750,744
Fort Jones          ,710,712,723,728,732,751,758,710,739
Montague            ,"1,443","1,460","1,434","1,429","1,426","1,420","1,417","1,423","1,428"
Mount Shasta        ,"3,394","3,361","3,348","3,350","3,364","3,433","3,459","3,423","3,385"
Tulelake            ,"1,010","1,020",990,982,979,966,956,966,977
Weed                ,"2,967","2,952","2,924","2,916","2,883","2,649","2,714","2,763","2,769"
Yreka               ,"7,765","7,812","7,767","7,752","7,754","7,807","7,824","7,803","7,840"
Balance Of County    ,"24,285","24,292","24,289","24,304","24,297","24,268","24,134","24,104","24,084"
Incorporated,"20,615","20,672","20,552","20,521","20,512","20,463","20,584","20,511","20,528"
