"COUNTY","YEAR","TOTAL_POP"
"Tulare County",1996,346594
"Tulare County",1997,350100
"Tulare County",1998,354277
"Tulare County",1999,358385
"Tulare County",2000,368011
"Tulare County",2001,373171
"Tulare County",2002,379568
"Tulare County",2003,388743
"Tulare County",2004,398226
"Tulare County",2005,407970
"Tulare County",2006,414921
"Tulare County",2007,422140
"Tulare County",2008,429283
"Tulare County",2009,436987
"Tulare County",2010,442179
"Tulare County",2011,447358
"Tulare County",2012,450779
"Tulare County",2013,453663
"Tulare County",2014,456452
"Tulare County",2015,458601
"Tulare County",2016,460835
"Tulare County",2017,464493
"Tuolumne County",1980,33928
"Tuolumne County",1981,35246
"Tuolumne County",1982,36259
"Tuolumne County",1983,37255
"Tuolumne County",1984,38058
"Tuolumne County",1985,39741
"Tuolumne County",1986,41583
"Tuolumne County",1987,43335
"Tuolumne County",1988,45029
"Tuolumne County",1989,46877
"Tuolumne County",1990,48456
"Tuolumne County",1991,49975
"Tuolumne County",1992,50693
"Tuolumne County",1993,51608
"Tuolumne County",1994,51850
"Tuolumne County",1995,51544
"Tuolumne County",1996,52152
"Tuolumne County",1997,52304
"Tuolumne County",1998,52671
"Tuolumne County",1999,53373
"Tuolumne County",2000,54522
"Tuolumne County",2001,55253
"Tuolumne County",2002,55850
"Tuolumne County",2003,56513
"Tuolumne County",2004,56602
"Tuolumne County",2005,56788
"Tuolumne County",2006,56680
"Tuolumne County",2007,56339
"Tuolumne County",2008,56320
"Tuolumne County",2009,55845
"Tuolumne County",2010,55365
"Tuolumne County",2011,54832
"Tuolumne County",2012,54237
"Tuolumne County",2013,54018
"Tuolumne County",2014,53852
"Tuolumne County",2015,53589
"Tuolumne County",2016,53787
"Tuolumne County",2017,54248
"Ventura County",1980,529174
"Ventura County",1981,546389
"Ventura County",1982,562142
"Ventura County",1983,575586
"Ventura County",1984,588790
"Ventura County",1985,602819
"Ventura County",1986,615422
"Ventura County",1987,632062
"Ventura County",1988,650851
"Ventura County",1989,664692
"Ventura County",1990,669016
"Ventura County",1991,675904
"Ventura County",1992,684497
"Ventura County",1993,690464
"Ventura County",1994,699207
"Ventura County",1995,704362
"Ventura County",1996,711274
"Ventura County",1997,722371
"Ventura County",1998,732254
"Ventura County",1999,745056
"Ventura County",2000,753230
"Ventura County",2001,766689
"Ventura County",2002,779489
"Ventura County",2003,788070
"Ventura County",2004,793994
"Ventura County",2005,794197
"Ventura County",2006,798183
"Ventura County",2007,800027
"Ventura County",2008,806353
"Ventura County",2009,815130
"Ventura County",2010,823318
"Ventura County",2011,830990
"Ventura County",2012,835143
"Ventura County",2013,840175
"Ventura County",2014,844749
"Ventura County",2015,848925
"Ventura County",2016,851096
"Ventura County",2017,854223
"Yolo County",1980,113374
"Yolo County",1981,115238
"Yolo County",1982,117748
"Yolo County",1983,119398
"Yolo County",1984,120861
"Yolo County",1985,123769
"Yolo County",1986,125166
"Yolo County",1987,128526
"Yolo County",1988,133311
"Yolo County",1989,138252
"Yolo County",1990,141212
"Yolo County",1991,143919
"Yolo County",1992,144426
"Yolo County",1993,145048
"Yolo County",1994,145861
"Yolo County",1995,147479
"Yolo County",1996,149141
"Yolo County",1997,151527
"Yolo County",1998,153260
"Yolo County",1999,155585
"Yolo County",2000,168660
"Yolo County",2001,175337
"Yolo County",2002,180327
"Yolo County",2003,182954
"Yolo County",2004,185237
"Yolo County",2005,186269
"Yolo County",2006,189615
"Yolo County",2007,194339
"Yolo County",2008,197154
"Yolo County",2009,199791
"Yolo County",2010,200849
"Yolo County",2011,202082
"Yolo County",2012,204890
"Yolo County",2013,206650
"Yolo County",2014,208873
"Yolo County",2015,212428
"Yolo County",2016,215959
"Yolo County",2017,219116
"Yuba County",1980,49733
"Yuba County",1981,50013
"Yuba County",1982,51175
"Yuba County",1983,51721
"Yuba County",1984,52404
"Yuba County",1985,53330
"Yuba County",1986,53778
"Yuba County",1987,54774
"Yuba County",1988,55841
"Yuba County",1989,57010
"Yuba County",1990,58234
"Yuba County",1991,59551
"Yuba County",1992,60816
"Yuba County",1993,61346
"Yuba County",1994,61971
"Yuba County",1995,61186
"Yuba County",1996,61043
"Yuba County",1997,60270
"Yuba County",1998,60276
"Yuba County",1999,60086
"Yuba County",2000,60249
"Yuba County",2001,61249
"Yuba County",2002,62100
"Yuba County",2003,62733
"Yuba County",2004,63742
"Yuba County",2005,66285
"Yuba County",2006,69272
"Yuba County",2007,70761
"Yuba County",2008,71773
"Yuba County",2009,71607
"Yuba County",2010,72155
"Yuba County",2011,72511
"Yuba County",2012,72832
"Yuba County",2013,73159
"Yuba County",2014,73642
"Yuba County",2015,74201
"Yuba County",2016,75185
"Yuba County",2017,77031
