"city","county","year","TOTAL_POP"
"Alameda","Alameda County",1980,64200
"Alameda","Alameda County",1981,64400
"Alameda","Alameda County",1982,66200
"Alameda","Alameda County",1983,70100
"Alameda","Alameda County",1984,68000
"Alameda","Alameda County",1985,71300
"Alameda","Alameda County",1986,69400
"Alameda","Alameda County",1987,74400
"Alameda","Alameda County",1988,75500
"Alameda","Alameda County",1989,72500
"Alameda","Alameda County",1990,74577
"Alameda","Alameda County",1991,76890
"Alameda","Alameda County",1992,77142
"Alameda","Alameda County",1993,78515
"Alameda","Alameda County",1994,77261
"Alameda","Alameda County",1995,77196
"Alameda","Alameda County",1996,75277
"Alameda","Alameda County",1997,71230
"Alameda","Alameda County",1998,71624
"Alameda","Alameda County",1999,72259
"Alameda","Alameda County",2000,72529
"Alameda","Alameda County",2001,72749
"Alameda","Alameda County",2002,72612
"Alameda","Alameda County",2003,71980
"Alameda","Alameda County",2004,71727
"Alameda","Alameda County",2005,71558
"Alameda","Alameda County",2006,72031
"Alameda","Alameda County",2007,72598
"Alameda","Alameda County",2008,73166
"Alameda","Alameda County",2009,73812
"Alameda","Alameda County",2010,74100
"Alameda","Alameda County",2011,74728
"Alameda","Alameda County",2012,75460
"Alameda","Alameda County",2013,76058
"Alameda","Alameda County",2014,76489
"Alameda","Alameda County",2015,77969
"Alameda","Alameda County",2016,78575
"Alameda","Alameda County",2017,78863
"Albany","Alameda County",1980,15100
"Albany","Alameda County",1981,15150
"Albany","Alameda County",1982,15350
"Albany","Alameda County",1983,15400
"Albany","Alameda County",1984,15300
"Albany","Alameda County",1985,15250
"Albany","Alameda County",1986,15250
"Albany","Alameda County",1987,15400
"Albany","Alameda County",1988,16350
"Albany","Alameda County",1989,16350
"Albany","Alameda County",1990,16273
"Albany","Alameda County",1991,16382
"Albany","Alameda County",1992,16742
"Albany","Alameda County",1993,16679
"Albany","Alameda County",1994,16343
"Albany","Alameda County",1995,16211
"Albany","Alameda County",1996,16307
"Albany","Alameda County",1997,16468
"Albany","Alameda County",1998,16440
"Albany","Alameda County",1999,16444
"Albany","Alameda County",2000,16692
"Albany","Alameda County",2001,16924
"Albany","Alameda County",2002,17096
"Albany","Alameda County",2003,17233
"Albany","Alameda County",2004,16889
"Albany","Alameda County",2005,17015
"Albany","Alameda County",2006,17332
"Albany","Alameda County",2007,17298
"Albany","Alameda County",2008,18196
"Albany","Alameda County",2009,18539
"Albany","Alameda County",2010,18354
"Albany","Alameda County",2011,18503
"Albany","Alameda County",2012,18497
"Albany","Alameda County",2013,18482
"Albany","Alameda County",2014,18540
"Albany","Alameda County",2015,18561
"Albany","Alameda County",2016,18646
"Albany","Alameda County",2017,19053
"Berkeley","Alameda County",1980,103300
"Berkeley","Alameda County",1981,104700
"Berkeley","Alameda County",1982,105500
"Berkeley","Alameda County",1983,104600
"Berkeley","Alameda County",1984,105500
"Berkeley","Alameda County",1985,104500
"Berkeley","Alameda County",1986,104300
"Berkeley","Alameda County",1987,103700
"Berkeley","Alameda County",1988,103600
"Berkeley","Alameda County",1989,103000
"Berkeley","Alameda County",1990,102098
"Berkeley","Alameda County",1991,102616
"Berkeley","Alameda County",1992,101980
"Berkeley","Alameda County",1993,101252
"Berkeley","Alameda County",1994,100943
"Berkeley","Alameda County",1995,100148
"Berkeley","Alameda County",1996,100904
"Berkeley","Alameda County",1997,101893
"Berkeley","Alameda County",1998,102268
"Berkeley","Alameda County",1999,102743
"Berkeley","Alameda County",2000,103695
"Berkeley","Alameda County",2001,104793
"Berkeley","Alameda County",2002,105139
"Berkeley","Alameda County",2003,105611
"Berkeley","Alameda County",2004,105880
"Berkeley","Alameda County",2005,107398
"Berkeley","Alameda County",2006,108721
"Berkeley","Alameda County",2007,109762
"Berkeley","Alameda County",2008,110982
"Berkeley","Alameda County",2009,112580
"Berkeley","Alameda County",2010,114002
"Berkeley","Alameda County",2011,114966
"Berkeley","Alameda County",2012,116206
"Berkeley","Alameda County",2013,117498
"Berkeley","Alameda County",2014,118543
"Berkeley","Alameda County",2015,119435
"Berkeley","Alameda County",2016,120700
"Berkeley","Alameda County",2017,121874
"Dublin","Alameda County",1980,NA
"Dublin","Alameda County",1981,NA
"Dublin","Alameda County",1982,14350
"Dublin","Alameda County",1983,14500
"Dublin","Alameda County",1984,14150
"Dublin","Alameda County",1985,16150
"Dublin","Alameda County",1986,19200
"Dublin","Alameda County",1987,20050
"Dublin","Alameda County",1988,21400
"Dublin","Alameda County",1989,23450
"Dublin","Alameda County",1990,23099
"Dublin","Alameda County",1991,24384
"Dublin","Alameda County",1992,24493
"Dublin","Alameda County",1993,24501
"Dublin","Alameda County",1994,24277
"Dublin","Alameda County",1995,23829
"Dublin","Alameda County",1996,23928
"Dublin","Alameda County",1997,24506
"Dublin","Alameda County",1998,25045
"Dublin","Alameda County",1999,30023
"Dublin","Alameda County",2000,32437
"Dublin","Alameda County",2001,33514
"Dublin","Alameda County",2002,35229
"Dublin","Alameda County",2003,36991
"Dublin","Alameda County",2004,38147
"Dublin","Alameda County",2005,39868
"Dublin","Alameda County",2006,41309
"Dublin","Alameda County",2007,44321
"Dublin","Alameda County",2008,45104
"Dublin","Alameda County",2009,46036
"Dublin","Alameda County",2010,46418
"Dublin","Alameda County",2011,47267
"Dublin","Alameda County",2012,50620
"Dublin","Alameda County",2013,54136
"Dublin","Alameda County",2014,56693
"Dublin","Alameda County",2015,58142
"Dublin","Alameda County",2016,60487
"Dublin","Alameda County",2017,63241
"Emeryville","Alameda County",1980,3900
"Emeryville","Alameda County",1981,3880
"Emeryville","Alameda County",1982,3890
"Emeryville","Alameda County",1983,3950
"Emeryville","Alameda County",1984,4190
"Emeryville","Alameda County",1985,4650
"Emeryville","Alameda County",1986,4650
"Emeryville","Alameda County",1987,4930
"Emeryville","Alameda County",1988,5075
"Emeryville","Alameda County",1989,5750
"Emeryville","Alameda County",1990,5815
"Emeryville","Alameda County",1991,5917
"Emeryville","Alameda County",1992,6007
"Emeryville","Alameda County",1993,6190
"Emeryville","Alameda County",1994,6157
"Emeryville","Alameda County",1995,6147
"Emeryville","Alameda County",1996,6196
"Emeryville","Alameda County",1997,6632
"Emeryville","Alameda County",1998,6824
"Emeryville","Alameda County",1999,6882
"Emeryville","Alameda County",2000,7186
"Emeryville","Alameda County",2001,7181
"Emeryville","Alameda County",2002,7376
"Emeryville","Alameda County",2003,7483
"Emeryville","Alameda County",2004,7998
"Emeryville","Alameda County",2005,8248
"Emeryville","Alameda County",2006,8818
"Emeryville","Alameda County",2007,9362
"Emeryville","Alameda County",2008,9702
"Emeryville","Alameda County",2009,10080
"Emeryville","Alameda County",2010,10235
"Emeryville","Alameda County",2011,10484
"Emeryville","Alameda County",2012,10626
"Emeryville","Alameda County",2013,10854
"Emeryville","Alameda County",2014,11057
"Emeryville","Alameda County",2015,11866
"Emeryville","Alameda County",2016,11995
"Emeryville","Alameda County",2017,11994
"Fremont","Alameda County",1980,135300
"Fremont","Alameda County",1981,137900
"Fremont","Alameda County",1982,140000
"Fremont","Alameda County",1983,143000
"Fremont","Alameda County",1984,146600
"Fremont","Alameda County",1985,152300
"Fremont","Alameda County",1986,157100
"Fremont","Alameda County",1987,164000
"Fremont","Alameda County",1988,168700
"Fremont","Alameda County",1989,172700
"Fremont","Alameda County",1990,173749
"Fremont","Alameda County",1991,175976
"Fremont","Alameda County",1992,179760
"Fremont","Alameda County",1993,180500
"Fremont","Alameda County",1994,181819
"Fremont","Alameda County",1995,183838
"Fremont","Alameda County",1996,187891
"Fremont","Alameda County",1997,193557
"Fremont","Alameda County",1998,197708
"Fremont","Alameda County",1999,203413
"Fremont","Alameda County",2000,206040
"Fremont","Alameda County",2001,207639
"Fremont","Alameda County",2002,207481
"Fremont","Alameda County",2003,206694
"Fremont","Alameda County",2004,206712
"Fremont","Alameda County",2005,206454
"Fremont","Alameda County",2006,207358
"Fremont","Alameda County",2007,209257
"Fremont","Alameda County",2008,211506
"Fremont","Alameda County",2009,214089
"Fremont","Alameda County",2010,216433
"Fremont","Alameda County",2011,220032
"Fremont","Alameda County",2012,223290
"Fremont","Alameda County",2013,226869
"Fremont","Alameda County",2014,229582
"Fremont","Alameda County",2015,231647
"Fremont","Alameda County",2016,233893
"Fremont","Alameda County",2017,235439
"Hayward","Alameda County",1980,95400
"Hayward","Alameda County",1981,96800
"Hayward","Alameda County",1982,99500
"Hayward","Alameda County",1983,101100
"Hayward","Alameda County",1984,102400
"Hayward","Alameda County",1985,104000
"Hayward","Alameda County",1986,105600
"Hayward","Alameda County",1987,107500
"Hayward","Alameda County",1988,109800
"Hayward","Alameda County",1989,111300
"Hayward","Alameda County",1990,116033
"Hayward","Alameda County",1991,119862
"Hayward","Alameda County",1992,123002
"Hayward","Alameda County",1993,124768
"Hayward","Alameda County",1994,126020
"Hayward","Alameda County",1995,127306
"Hayward","Alameda County",1996,130247
"Hayward","Alameda County",1997,133533
"Hayward","Alameda County",1998,135687
"Hayward","Alameda County",1999,140030
"Hayward","Alameda County",2000,141444
"Hayward","Alameda County",2001,141850
"Hayward","Alameda County",2002,141263
"Hayward","Alameda County",2003,140681
"Hayward","Alameda County",2004,140530
"Hayward","Alameda County",2005,140305
"Hayward","Alameda County",2006,140720
"Hayward","Alameda County",2007,141495
"Hayward","Alameda County",2008,142642
"Hayward","Alameda County",2009,144186
"Hayward","Alameda County",2010,146357
"Hayward","Alameda County",2011,149965
"Hayward","Alameda County",2012,152491
"Hayward","Alameda County",2013,154641
"Hayward","Alameda County",2014,157409
"Hayward","Alameda County",2015,159465
"Hayward","Alameda County",2016,161455
"Hayward","Alameda County",2017,162030
"Incorporated","Alameda County",1980,992800
"Incorporated","Alameda County",1981,1005700
"Incorporated","Alameda County",1982,1038600
"Incorporated","Alameda County",1983,1057000
"Incorporated","Alameda County",1984,1070100
"Incorporated","Alameda County",1985,1090400
"Incorporated","Alameda County",1986,1105000
"Incorporated","Alameda County",1987,1125000
"Incorporated","Alameda County",1988,1142900
"Incorporated","Alameda County",1989,1154800
"Incorporated","Alameda County",2000,1320393
"Incorporated","Alameda County",2001,1329300
"Incorporated","Alameda County",2002,1330234
"Incorporated","Alameda County",2003,1328500
"Incorporated","Alameda County",2004,1325289
"Incorporated","Alameda County",2005,1325137
"Incorporated","Alameda County",2006,1332837
"Incorporated","Alameda County",2007,1345214
"Incorporated","Alameda County",2008,1357398
"Incorporated","Alameda County",2009,1369005
"Incorporated","Alameda County",2010,1383590
"Incorporated","Alameda County",2011,1400164
"Incorporated","Alameda County",2012,1422478
"Incorporated","Alameda County",2013,1442726
"Incorporated","Alameda County",2014,1465005
"Incorporated","Alameda County",2015,1482094
"Incorporated","Alameda County",2016,1497784
"Incorporated","Alameda County",2017,1511307
"Livermore","Alameda County",1980,48600
"Livermore","Alameda County",1981,49400
"Livermore","Alameda County",1982,50200
"Livermore","Alameda County",1983,51000
"Livermore","Alameda County",1984,52200
"Livermore","Alameda County",1985,53200
"Livermore","Alameda County",1986,53700
"Livermore","Alameda County",1987,54600
"Livermore","Alameda County",1988,55100
"Livermore","Alameda County",1989,56400
"Livermore","Alameda County",1990,57678
"Livermore","Alameda County",1991,59027
"Livermore","Alameda County",1992,60811
"Livermore","Alameda County",1993,61680
"Livermore","Alameda County",1994,63058
"Livermore","Alameda County",1995,64370
"Livermore","Alameda County",1996,66697
"Livermore","Alameda County",1997,69538
"Livermore","Alameda County",1998,72112
"Livermore","Alameda County",1999,73464
"Livermore","Alameda County",2000,74422
"Livermore","Alameda County",2001,75560
"Livermore","Alameda County",2002,76332
"Livermore","Alameda County",2003,76660
"Livermore","Alameda County",2004,78019
"Livermore","Alameda County",2005,78482
"Livermore","Alameda County",2006,79374
"Livermore","Alameda County",2007,79890
"Livermore","Alameda County",2008,80482
"Livermore","Alameda County",2009,80968
"Livermore","Alameda County",2010,81898
"Livermore","Alameda County",2011,83184
"Livermore","Alameda County",2012,84486
"Livermore","Alameda County",2013,85819
"Livermore","Alameda County",2014,87090
"Livermore","Alameda County",2015,88974
"Livermore","Alameda County",2016,90454
"Livermore","Alameda County",2017,91411
"Newark","Alameda County",1980,32500
"Newark","Alameda County",1981,32400
"Newark","Alameda County",1982,34200
"Newark","Alameda County",1983,34850
"Newark","Alameda County",1984,35800
"Newark","Alameda County",1985,36150
"Newark","Alameda County",1986,36800
"Newark","Alameda County",1987,37850
"Newark","Alameda County",1988,37750
"Newark","Alameda County",1989,37850
"Newark","Alameda County",1990,37715
"Newark","Alameda County",1991,38220
"Newark","Alameda County",1992,38413
"Newark","Alameda County",1993,38787
"Newark","Alameda County",1994,39213
"Newark","Alameda County",1995,39348
"Newark","Alameda County",1996,39838
"Newark","Alameda County",1997,40471
"Newark","Alameda County",1998,41889
"Newark","Alameda County",1999,42471
"Newark","Alameda County",2000,42884
"Newark","Alameda County",2001,43103
"Newark","Alameda County",2002,43184
"Newark","Alameda County",2003,42933
"Newark","Alameda County",2004,42524
"Newark","Alameda County",2005,42226
"Newark","Alameda County",2006,42221
"Newark","Alameda County",2007,42327
"Newark","Alameda County",2008,42429
"Newark","Alameda County",2009,42573
"Newark","Alameda County",2010,42821
"Newark","Alameda County",2011,43305
"Newark","Alameda County",2012,43780
"Newark","Alameda County",2013,44170
"Newark","Alameda County",2014,44529
"Newark","Alameda County",2015,44997
"Newark","Alameda County",2016,45668
"Newark","Alameda County",2017,47467
"Oakland","Alameda County",1980,343100
"Oakland","Alameda County",1981,347400
"Oakland","Alameda County",1982,352900
"Oakland","Alameda County",1983,357800
"Oakland","Alameda County",1984,360900
"Oakland","Alameda County",1985,363000
"Oakland","Alameda County",1986,366500
"Oakland","Alameda County",1987,367700
"Oakland","Alameda County",1988,370000
"Oakland","Alameda County",1989,372300
"Oakland","Alameda County",1990,375382
"Oakland","Alameda County",1991,376131
"Oakland","Alameda County",1992,377678
"Oakland","Alameda County",1993,378644
"Oakland","Alameda County",1994,378748
"Oakland","Alameda County",1995,380014
"Oakland","Alameda County",1996,384623
"Oakland","Alameda County",1997,391893
"Oakland","Alameda County",1998,394882
"Oakland","Alameda County",1999,399566
"Oakland","Alameda County",2000,399262
"Oakland","Alameda County",2001,399296
"Oakland","Alameda County",2002,397440
"Oakland","Alameda County",2003,394917
"Oakland","Alameda County",2004,389937
"Oakland","Alameda County",2005,386350
"Oakland","Alameda County",2006,385882
"Oakland","Alameda County",2007,387554
"Oakland","Alameda County",2008,389913
"Oakland","Alameda County",2009,390724
"Oakland","Alameda County",2010,397235
"Oakland","Alameda County",2011,399775
"Oakland","Alameda County",2012,406536
"Oakland","Alameda County",2013,411636
"Oakland","Alameda County",2014,420269
"Oakland","Alameda County",2015,424471
"Oakland","Alameda County",2016,427503
"Oakland","Alameda County",2017,428827
"Piedmont","Alameda County",1980,10500
"Piedmont","Alameda County",1981,10500
"Piedmont","Alameda County",1982,10600
"Piedmont","Alameda County",1983,10550
"Piedmont","Alameda County",1984,10550
"Piedmont","Alameda County",1985,10550
"Piedmont","Alameda County",1986,10550
"Piedmont","Alameda County",1987,10550
"Piedmont","Alameda County",1988,10600
"Piedmont","Alameda County",1989,10600
"Piedmont","Alameda County",1990,10589
"Piedmont","Alameda County",1991,10676
"Piedmont","Alameda County",1992,10734
"Piedmont","Alameda County",1993,10701
"Piedmont","Alameda County",1994,10767
"Piedmont","Alameda County",1995,10708
"Piedmont","Alameda County",1996,10791
"Piedmont","Alameda County",1997,10922
"Piedmont","Alameda County",1998,10918
"Piedmont","Alameda County",1999,10952
"Piedmont","Alameda County",2000,10973
"Piedmont","Alameda County",2001,10969
"Piedmont","Alameda County",2002,10893
"Piedmont","Alameda County",2003,10807
"Piedmont","Alameda County",2004,10690
"Piedmont","Alameda County",2005,10599
"Piedmont","Alameda County",2006,10589
"Piedmont","Alameda County",2007,10601
"Piedmont","Alameda County",2008,10638
"Piedmont","Alameda County",2009,10667
"Piedmont","Alameda County",2010,10733
"Piedmont","Alameda County",2011,10857
"Piedmont","Alameda County",2012,10981
"Piedmont","Alameda County",2013,11080
"Piedmont","Alameda County",2014,11169
"Piedmont","Alameda County",2015,11250
"Piedmont","Alameda County",2016,11309
"Piedmont","Alameda County",2017,11318
"Pleasanton","Alameda County",1980,35000
"Pleasanton","Alameda County",1981,35100
"Pleasanton","Alameda County",1982,35600
"Pleasanton","Alameda County",1983,36600
"Pleasanton","Alameda County",1984,38750
"Pleasanton","Alameda County",1985,42300
"Pleasanton","Alameda County",1986,43100
"Pleasanton","Alameda County",1987,44600
"Pleasanton","Alameda County",1988,47900
"Pleasanton","Alameda County",1989,50700
"Pleasanton","Alameda County",1990,51226
"Pleasanton","Alameda County",1991,51977
"Pleasanton","Alameda County",1992,53048
"Pleasanton","Alameda County",1993,53871
"Pleasanton","Alameda County",1994,55158
"Pleasanton","Alameda County",1995,56013
"Pleasanton","Alameda County",1996,57855
"Pleasanton","Alameda County",1997,60315
"Pleasanton","Alameda County",1998,61678
"Pleasanton","Alameda County",1999,63654
"Pleasanton","Alameda County",2000,65011
"Pleasanton","Alameda County",2001,65712
"Pleasanton","Alameda County",2002,66464
"Pleasanton","Alameda County",2003,66732
"Pleasanton","Alameda County",2004,66890
"Pleasanton","Alameda County",2005,67215
"Pleasanton","Alameda County",2006,68012
"Pleasanton","Alameda County",2007,68796
"Pleasanton","Alameda County",2008,69579
"Pleasanton","Alameda County",2009,70285
"Pleasanton","Alameda County",2010,70565
"Pleasanton","Alameda County",2011,71312
"Pleasanton","Alameda County",2012,72145
"Pleasanton","Alameda County",2013,73079
"Pleasanton","Alameda County",2014,74639
"Pleasanton","Alameda County",2015,75838
"Pleasanton","Alameda County",2016,76748
"Pleasanton","Alameda County",2017,79201
"San Leandro","Alameda County",1980,64800
"San Leandro","Alameda County",1981,65400
"San Leandro","Alameda County",1982,65900
"San Leandro","Alameda County",1983,66500
"San Leandro","Alameda County",1984,66200
"San Leandro","Alameda County",1985,66100
"San Leandro","Alameda County",1986,66800
"San Leandro","Alameda County",1987,67400
"San Leandro","Alameda County",1988,68300
"San Leandro","Alameda County",1989,68300
"San Leandro","Alameda County",1990,68467
"San Leandro","Alameda County",1991,69690
"San Leandro","Alameda County",1992,71182
"San Leandro","Alameda County",1993,71683
"San Leandro","Alameda County",1994,72238
"San Leandro","Alameda County",1995,72579
"San Leandro","Alameda County",1996,74015
"San Leandro","Alameda County",1997,75855
"San Leandro","Alameda County",1998,77085
"San Leandro","Alameda County",1999,79452
"San Leandro","Alameda County",2000,80341
"San Leandro","Alameda County",2001,81163
"San Leandro","Alameda County",2002,81342
"San Leandro","Alameda County",2003,81882
"San Leandro","Alameda County",2004,81802
"San Leandro","Alameda County",2005,81795
"San Leandro","Alameda County",2006,82310
"San Leandro","Alameda County",2007,83069
"San Leandro","Alameda County",2008,83951
"San Leandro","Alameda County",2009,84950
"San Leandro","Alameda County",2010,84773
"San Leandro","Alameda County",2011,85346
"San Leandro","Alameda County",2012,86042
"San Leandro","Alameda County",2013,86554
"San Leandro","Alameda County",2014,86893
"San Leandro","Alameda County",2015,86961
"San Leandro","Alameda County",2016,87376
"San Leandro","Alameda County",2017,87598
"Unincorporated","Alameda County",1980,125000
"Unincorporated","Alameda County",1981,128200
"Unincorporated","Alameda County",1982,113200
"Unincorporated","Alameda County",1983,113400
"Unincorporated","Alameda County",1984,115400
"Unincorporated","Alameda County",1985,116400
"Unincorporated","Alameda County",1986,115600
"Unincorporated","Alameda County",1987,117300
"Unincorporated","Alameda County",1988,118300
"Unincorporated","Alameda County",1989,119900
"Union City","Alameda County",1980,41000
"Union City","Alameda County",1981,42800
"Union City","Alameda County",1982,44300
"Union City","Alameda County",1983,47050
"Union City","Alameda County",1984,49600
"Union City","Alameda County",1985,51000
"Union City","Alameda County",1986,52100
"Union City","Alameda County",1987,52400
"Union City","Alameda County",1988,52800
"Union City","Alameda County",1989,53700
"Union City","Alameda County",1990,54389
"Union City","Alameda County",1991,55200
"Union City","Alameda County",1992,55932
"Union City","Alameda County",1993,56653
"Union City","Alameda County",1994,57150
"Union City","Alameda County",1995,57626
"Union City","Alameda County",1996,59005
"Union City","Alameda County",1997,61633
"Union City","Alameda County",1998,64409
"Union City","Alameda County",1999,66869
"Union City","Alameda County",2000,67477
"Union City","Alameda County",2001,68847
"Union City","Alameda County",2002,68383
"Union City","Alameda County",2003,67896
"Union City","Alameda County",2004,67544
"Union City","Alameda County",2005,67624
"Union City","Alameda County",2006,68160
"Union City","Alameda County",2007,68884
"Union City","Alameda County",2008,69108
"Union City","Alameda County",2009,69516
"Union City","Alameda County",2010,69666
"Union City","Alameda County",2011,70440
"Union City","Alameda County",2012,71318
"Union City","Alameda County",2013,71850
"Union City","Alameda County",2014,72103
"Union City","Alameda County",2015,72518
"Union City","Alameda County",2016,72975
"Union City","Alameda County",2017,72991
"Alpine County","Alpine County",2000,1220
"Alpine County","Alpine County",2001,1242
"Alpine County","Alpine County",2002,1248
"Alpine County","Alpine County",2003,1257
"Alpine County","Alpine County",2004,1237
"Alpine County","Alpine County",2005,1232
"Alpine County","Alpine County",2006,1252
"Alpine County","Alpine County",2007,1228
"Alpine County","Alpine County",2008,1194
"Alpine County","Alpine County",2009,1175
"Unincorporated","Alpine County",1980,1090
"Unincorporated","Alpine County",1981,1110
"Unincorporated","Alpine County",1982,1120
"Unincorporated","Alpine County",1983,1080
"Unincorporated","Alpine County",1984,1100
"Unincorporated","Alpine County",1985,1140
"Unincorporated","Alpine County",1986,1130
"Unincorporated","Alpine County",1987,1100
"Unincorporated","Alpine County",1988,1090
"Unincorporated","Alpine County",1989,1100
"Amador","Amador County",1980,140
"Amador","Amador County",1981,140
"Amador","Amador County",1982,140
"Amador","Amador County",1983,140
"Amador","Amador County",1984,150
"Amador","Amador County",1985,150
"Amador","Amador County",1986,160
"Amador","Amador County",1987,170
"Amador","Amador County",1988,190
"Amador","Amador County",1989,200
"Amador","Amador County",1990,202
"Amador","Amador County",1991,201
"Amador","Amador County",1992,198
"Amador","Amador County",1993,199
"Amador","Amador County",1994,197
"Amador","Amador County",1995,193
"Amador","Amador County",1996,194
"Amador","Amador County",1997,193
"Amador","Amador County",1998,190
"Amador","Amador County",1999,196
"Amador","Amador County",2000,199
"Amador","Amador County",2001,203
"Amador","Amador County",2002,202
"Amador","Amador County",2003,201
"Amador","Amador County",2004,206
"Amador","Amador County",2005,202
"Amador","Amador County",2006,199
"Amador","Amador County",2007,194
"Amador","Amador County",2008,189
"Amador","Amador County",2009,185
"Amador","Amador County",2010,184
"Amador","Amador County",2011,184
"Amador","Amador County",2012,185
"Amador","Amador County",2013,188
"Amador","Amador County",2014,188
"Amador","Amador County",2015,189
"Amador","Amador County",2016,190
"Amador","Amador County",2017,186
"Incorporated","Amador County",1980,7050
"Incorporated","Amador County",1981,7125
"Incorporated","Amador County",1982,7100
"Incorporated","Amador County",1983,7175
"Incorporated","Amador County",1984,7450
"Incorporated","Amador County",1985,7825
"Incorporated","Amador County",1986,8325
"Incorporated","Amador County",1987,10150
"Incorporated","Amador County",1988,11450
"Incorporated","Amador County",1989,12700
"Incorporated","Amador County",2000,14781
"Incorporated","Amador County",2001,15152
"Incorporated","Amador County",2002,15353
"Incorporated","Amador County",2003,15517
"Incorporated","Amador County",2004,15946
"Incorporated","Amador County",2005,16092
"Incorporated","Amador County",2006,16314
"Incorporated","Amador County",2007,15976
"Incorporated","Amador County",2008,16148
"Incorporated","Amador County",2009,16260
"Incorporated","Amador County",2010,15848
"Incorporated","Amador County",2011,15689
"Incorporated","Amador County",2012,15295
"Incorporated","Amador County",2013,15489
"Incorporated","Amador County",2014,15461
"Incorporated","Amador County",2015,15401
"Incorporated","Amador County",2016,16149
"Incorporated","Amador County",2017,16404
"Ione","Amador County",1980,2240
"Ione","Amador County",1981,2270
"Ione","Amador County",1982,2310
"Ione","Amador County",1983,2310
"Ione","Amador County",1984,2530
"Ione","Amador County",1985,2490
"Ione","Amador County",1986,2690
"Ione","Amador County",1987,4400
"Ione","Amador County",1988,5425
"Ione","Amador County",1989,6450
"Ione","Amador County",1990,7127
"Ione","Amador County",1991,7102
"Ione","Amador County",1992,7185
"Ione","Amador County",1993,7166
"Ione","Amador County",1994,7123
"Ione","Amador County",1995,7226
"Ione","Amador County",1996,7283
"Ione","Amador County",1997,7048
"Ione","Amador County",1998,7248
"Ione","Amador County",1999,7129
"Ione","Amador County",2000,7243
"Ione","Amador County",2001,7474
"Ione","Amador County",2002,7499
"Ione","Amador County",2003,7588
"Ione","Amador County",2004,7643
"Ione","Amador County",2005,7686
"Ione","Amador County",2006,7915
"Ione","Amador County",2007,7567
"Ione","Amador County",2008,7834
"Ione","Amador County",2009,7918
"Ione","Amador County",2010,7521
"Ione","Amador County",2011,7334
"Ione","Amador County",2012,6914
"Ione","Amador County",2013,6976
"Ione","Amador County",2014,6963
"Ione","Amador County",2015,6945
"Ione","Amador County",2016,7683
"Ione","Amador County",2017,8058
"Jackson","Amador County",1980,2280
"Jackson","Amador County",1981,2440
"Jackson","Amador County",1982,2420
"Jackson","Amador County",1983,2530
"Jackson","Amador County",1984,2580
"Jackson","Amador County",1985,2890
"Jackson","Amador County",1986,3060
"Jackson","Amador County",1987,3120
"Jackson","Amador County",1988,3340
"Jackson","Amador County",1989,3510
"Jackson","Amador County",1990,3605
"Jackson","Amador County",1991,3724
"Jackson","Amador County",1992,3787
"Jackson","Amador County",1993,3863
"Jackson","Amador County",1994,3840
"Jackson","Amador County",1995,3853
"Jackson","Amador County",1996,3887
"Jackson","Amador County",1997,3935
"Jackson","Amador County",1998,3918
"Jackson","Amador County",1999,3989
"Jackson","Amador County",2000,4029
"Jackson","Amador County",2001,4098
"Jackson","Amador County",2002,4175
"Jackson","Amador County",2003,4242
"Jackson","Amador County",2004,4408
"Jackson","Amador County",2005,4541
"Jackson","Amador County",2006,4581
"Jackson","Amador County",2007,4615
"Jackson","Amador County",2008,4600
"Jackson","Amador County",2009,4651
"Jackson","Amador County",2010,4644
"Jackson","Amador County",2011,4685
"Jackson","Amador County",2012,4704
"Jackson","Amador County",2013,4783
"Jackson","Amador County",2014,4805
"Jackson","Amador County",2015,4779
"Jackson","Amador County",2016,4761
"Jackson","Amador County",2017,4679
"Plymouth","Amador County",1980,700
"Plymouth","Amador County",1981,660
"Plymouth","Amador County",1982,650
"Plymouth","Amador County",1983,640
"Plymouth","Amador County",1984,620
"Plymouth","Amador County",1985,680
"Plymouth","Amador County",1986,710
"Plymouth","Amador County",1987,760
"Plymouth","Amador County",1988,780
"Plymouth","Amador County",1989,810
"Plymouth","Amador County",1990,827
"Plymouth","Amador County",1991,855
"Plymouth","Amador County",1992,864
"Plymouth","Amador County",1993,890
"Plymouth","Amador County",1994,885
"Plymouth","Amador County",1995,899
"Plymouth","Amador County",1996,918
"Plymouth","Amador County",1997,935
"Plymouth","Amador County",1998,943
"Plymouth","Amador County",1999,980
"Plymouth","Amador County",2000,990
"Plymouth","Amador County",2001,1029
"Plymouth","Amador County",2002,1072
"Plymouth","Amador County",2003,1060
"Plymouth","Amador County",2004,1053
"Plymouth","Amador County",2005,1045
"Plymouth","Amador County",2006,1028
"Plymouth","Amador County",2007,1024
"Plymouth","Amador County",2008,1006
"Plymouth","Amador County",2009,1005
"Plymouth","Amador County",2010,1004
"Plymouth","Amador County",2011,1008
"Plymouth","Amador County",2012,1011
"Plymouth","Amador County",2013,1027
"Plymouth","Amador County",2014,1013
"Plymouth","Amador County",2015,1012
"Plymouth","Amador County",2016,1010
"Plymouth","Amador County",2017,1002
"Sutter Creek","Amador County",1980,1690
"Sutter Creek","Amador County",1981,1620
"Sutter Creek","Amador County",1982,1590
"Sutter Creek","Amador County",1983,1570
"Sutter Creek","Amador County",1984,1570
"Sutter Creek","Amador County",1985,1610
"Sutter Creek","Amador County",1986,1710
