"county","year","total.pop","property.sum","violent.nr.sum","totalcrime.sum","st.le.sum","cnty.le.sum","prosecution.sum","publicdefense.sum","probationdept.sum","st.le.sum_per.crime","cnty.le.sum_per.crime","prosecution.sum_per.crime","publicdefense.sum_per.crime","probationdept.sum_per.crime"
"Calaveras",2003,43755,877,206,1083,104,104,16,NA,18,960.295475530933,960.295475530933,147.737765466297,NA,166.204986149584
"Calaveras",2004,44530,1002,116,1118,105,105,16,NA,19,939.1771019678,939.1771019678,143.112701252236,NA,169.94633273703
"Calaveras",2005,45295,925,135,1060,114,114,16,NA,16,1075.47169811321,1075.47169811321,150.943396226415,NA,150.943396226415
"Calaveras",2006,46045,944,45,989,111,111,16,NA,13,1122.34580384227,1122.34580384227,161.779575328615,NA,131.445904954499
"Calaveras",2007,46268,785,49,834,121,121,18,NA,17,1450.83932853717,1450.83932853717,215.827338129496,NA,203.836930455635
"Calaveras",2008,46265,829,87,916,120,120,18,NA,17,1310.04366812227,1310.04366812227,196.506550218341,NA,185.589519650655
"Calaveras",2009,45900,788,68,856,116,116,16,NA,16,1355.14018691589,1355.14018691589,186.915887850467,NA,186.915887850467
"Calaveras",2010,45578,825,82,907,102,102,14,NA,12,1124.58654906284,1124.58654906284,154.355016538037,NA,132.304299889746
"Calaveras",2011,45163,1156,103,1259,99,99,12,NA,13,786.338363780778,786.338363780778,95.3137410643368,NA,103.256552819698
"Calaveras",2012,44826,1149,83,1232,98,98,14,NA,13,795.454545454545,795.454545454545,113.636363636364,NA,105.519480519481
"Calaveras",2013,44667,1080,109,1189,105,105,14,0,14,883.09503784693,883.09503784693,117.746005046257,0,117.746005046257
"Calaveras",2014,44677,989,101,1090,100,100,14,0,17,917.431192660551,917.431192660551,128.440366972477,0,155.963302752294
"Calaveras",2015,44954,808,104,912,100,100,14,0,17,1096.49122807018,1096.49122807018,153.508771929825,0,186.40350877193
"Calaveras",2016,45315,656,150,806,108,108,16,0,18,1339.95037220844,1339.95037220844,198.511166253102,0,223.325062034739
"Calaveras",2017,45670,790,178,968,113,113,9,0,17,1167.35537190083,1167.35537190083,92.9752066115703,0,175.619834710744
"Colusa",2003,19568,632,51,683,79,79,11,NA,14,1156.66178623719,1156.66178623719,161.054172767204,NA,204.97803806735
"Colusa",2004,20207,576,57,633,72,72,7,NA,14,1137.44075829384,1137.44075829384,110.584518167457,NA,221.169036334913
"Colusa",2005,20540,568,44,612,78,78,7,NA,13,1274.50980392157,1274.50980392157,114.37908496732,NA,212.418300653595
"Colusa",2006,20890,624,70,694,76,76,9,NA,18,1095.10086455331,1095.10086455331,129.682997118156,NA,259.365994236311
"Colusa",2007,21075,602,62,664,80,80,9,NA,17,1204.81927710843,1204.81927710843,135.542168674699,NA,256.024096385542
"Colusa",2008,21134,490,39,529,85,85,9,NA,17,1606.80529300567,1606.80529300567,170.132325141777,NA,321.361058601134
"Colusa",2009,21250,527,46,573,86,86,9,NA,17,1500.87260034904,1500.87260034904,157.068062827225,NA,296.684118673648
"Colusa",2010,21419,499,43,542,92,92,10,NA,17,1697.41697416974,1697.41697416974,184.50184501845,NA,313.653136531365
"Colusa",2011,21366,495,43,538,88,88,10,NA,17,1635.68773234201,1635.68773234201,185.873605947955,NA,315.985130111524
"Colusa",2012,21350,555,39,594,86,86,11,NA,19,1447.81144781145,1447.81144781145,185.185185185185,NA,319.86531986532
"Colusa",2013,21336,535,36,571,89,89,11,0,20,1558.66900175131,1558.66900175131,192.644483362522,0,350.262697022767
"Colusa",2014,21268,350,38,388,90,90,10,0,21,2319.58762886598,2319.58762886598,257.731958762887,0,541.237113402062
"Colusa",2015,21341,374,44,418,79,79,12,0,19,1889.95215311005,1889.95215311005,287.081339712919,0,454.545454545455
"Colusa",2016,21645,357,41,398,83,83,13,0,19,2085.42713567839,2085.42713567839,326.633165829146,0,477.386934673367
"Colusa",2017,21805,339,65,404,82,82,12,0,18,2029.70297029703,2029.70297029703,297.029702970297,0,445.544554455446
"Contra Costa",2003,987531,40771,3996,44767,2628,2349,198,136,431,587.039560390466,524.716867335314,44.2290079746242,30.3795206290348,96.2762749346617
"Contra Costa",2004,992424,41495,3816,45311,2556,2277,192,133,420,564.101432323277,502.526980203483,42.3738165125466,29.3526958133786,92.6927236211957
"Contra Costa",2005,999013,39147,4316,43463,2527,2250,197,135,383,581.414076340796,517.681706278904,45.3259093941974,31.0609023767342,88.1209304465867
"Contra Costa",2006,1000834,36977,4590,41567,2545,2276,154,135,377,612.264536771959,547.54973897563,37.048620299757,32.4776866264104,90.6969470974571
"Contra Costa",2007,1009152,36406,4757,41163,2623,2342,169,131,415,637.222748584894,568.957558972864,41.0562884143527,31.8246969365692,100.818696402109
"Contra Costa",2008,1023344,34759,4421,39180,2686,2402,172,112,355,685.553854007146,613.067891781521,43.8999489535477,28.5860132720776,90.6074527820317
"Contra Costa",2009,1037890,31065,4057,35122,2602,2342,156,109,340,740.846193269176,666.818518307614,44.4166049769375,31.0346791185012,96.8054211035818
"Contra Costa",2010,1049025,30680,4137,34817,2579,2313,156,102,316,740.730103110549,664.330643076658,44.8056983657409,29.2960335468306,90.7602607921418
"Contra Costa",2011,1066182,30239,3767,34006,2503,2237,137,94,289,736.046580015291,657.825089690055,40.2870081750279,27.642180791625,84.9850026465918
"Contra Costa",2012,1079093,32787,4214,37001,2480,2211,125,103,294,670.252155347153,597.551417529256,33.7828707332234,27.8370854841761,79.4573119645415
"Contra Costa",2013,1095310,31351,3813,35164,2516,2255,152,114,330,715.504493231714,641.280855420316,43.2260266181322,32.4195199635991,93.8459788419975
"Contra Costa",2014,1110971,32232,3414,35646,2522,2242,185,119,339,707.512764405543,628.962576446165,51.8992313303035,33.3838298827358,95.1018347079616
"Contra Costa",2015,1126027,32394,3548,35942,2516,2231,170,119,294,700.01669356185,620.722274776028,47.2984252406655,33.1088976684659,81.7984530632686
"Contra Costa",2016,1138645,28939,3586,32525,2517,2240,171,119,294,773.866256725596,688.70099923136,52.5749423520369,36.587240584166,90.3920061491161
